variant,task_id,task_seed,direction,difficulty,true_pair_count,success,strict_success,severe_failure,steps,crossings,total_volume_ml,final_abs_error,controller_ms_per_step,benchmark_seed
full,20,5000101,acid,near,3,1,0,0,7,0,5.930000000000001,0.07577736459429296,20.48215714395545,101
no_ph_rate_bonus,20,5000101,acid,near,3,1,0,0,10,0,5.829999999999999,0.08766352931960597,25.87379000033252,101
no_uncertainty_factor,20,5000101,acid,near,3,1,0,0,6,0,5.89,0.08054851205259617,27.32016666535249,101
no_buffering_factor,20,5000101,acid,near,3,0,0,0,6,0,5.72,0.10058080082700904,23.828716666078737,101
no_required_volume_term,20,5000101,acid,near,3,1,0,0,7,0,5.930000000000001,0.07577736459429296,22.006671428763575,101
linear_clip_instead_of_tanh,20,5000101,acid,near,3,1,0,0,7,0,5.930000000000001,0.07577736459429119,25.293914285222336,101
full,21,5000101,base,far,2,1,0,0,6,0,16.37,0.08932754888832228,46.265849997629026,101
no_ph_rate_bonus,21,5000101,base,far,2,1,0,0,9,0,16.459999999999997,0.07254041623372665,25.51316666681992,101
no_uncertainty_factor,21,5000101,base,far,2,1,1,0,6,0,16.610000000000003,0.04520377081897209,43.580266664018076,101
no_buffering_factor,21,5000101,base,far,2,1,0,0,6,0,16.4,0.08369924670516582,38.60151666837434,101
no_required_volume_term,21,5000101,base,far,2,1,0,0,7,0,16.51,0.06333999689756276,42.69635714029261,101
linear_clip_instead_of_tanh,21,5000101,base,far,2,1,0,0,6,0,16.549999999999997,0.05604347628896633,50.23881666663025,101
full,22,5000101,base,far,1,0,0,0,50,41,24.670000000000023,0.17979997717292662,68.4058840002399,101
no_ph_rate_bonus,22,5000101,base,far,1,0,0,0,50,44,16.179999999999996,0.1202633862562621,60.02597400030936,101
no_uncertainty_factor,22,5000101,base,far,1,0,0,0,50,44,24.36000000000002,0.12235924637548834,70.16583799995715,101
no_buffering_factor,22,5000101,base,far,1,0,0,0,50,43,24.450000000000028,0.1800116277841468,60.67971599914017,101
no_required_volume_term,22,5000101,base,far,1,0,0,0,50,44,22.020000000000024,0.12176277629783527,72.4281739993603,101
linear_clip_instead_of_tanh,22,5000101,base,far,1,0,0,0,50,42,21.880000000000027,0.1217270123987717,49.90674599990598,101
full,23,5000101,acid,near,2,1,0,0,5,0,3.24,0.09214735326321843,21.643659997789655,101
no_ph_rate_bonus,23,5000101,acid,near,2,1,0,0,8,0,3.3,0.08667783360437831,26.114162502381078,101
no_uncertainty_factor,23,5000101,acid,near,2,1,0,0,5,0,3.41,0.07667799441675349,27.909800001361873,101
no_buffering_factor,23,5000101,acid,near,2,1,0,0,5,0,3.2600000000000002,0.09032295778757948,25.823940000555012,101
no_required_volume_term,23,5000101,acid,near,2,1,0,0,5,0,3.24,0.09214735326321843,20.15691999986302,101
linear_clip_instead_of_tanh,23,5000101,acid,near,2,1,0,0,5,0,3.24,0.09214735326321843,23.142039999947883,101
full,24,5000101,base,near,1,1,1,0,2,1,2.87,0.03581003035652763,58.10199999905308,101
no_ph_rate_bonus,24,5000101,base,near,1,1,0,0,1,0,1.68,0.09511712607756273,107.1007999998983,101
no_uncertainty_factor,24,5000101,base,near,1,1,1,0,2,1,3.4200000000000004,0.025398460867483763,75.50460000129533,101
no_buffering_factor,24,5000101,base,near,1,1,1,0,2,1,3.04,0.032322571554248114,60.606800001551164,101
no_required_volume_term,24,5000101,base,near,1,1,0,0,2,0,1.79,0.062104737383323894,76.55010000235052,101
linear_clip_instead_of_tanh,24,5000101,base,near,1,1,1,0,2,1,2.96,0.03931058892008643,70.49229999392992,101
full,25,5000101,acid,medium,3,1,0,0,5,0,12.240000000000002,0.07605588803434404,38.80166000017198,101
no_ph_rate_bonus,25,5000101,acid,medium,3,1,0,0,6,0,12.060000000000002,0.09326831722487317,34.552249998038555,101
no_uncertainty_factor,25,5000101,acid,medium,3,1,0,0,4,0,12.07,0.09231123566687938,42.46452500046871,101
no_buffering_factor,25,5000101,acid,medium,3,1,0,0,5,0,12.34,0.06650644219042956,30.12373999808915,101
no_required_volume_term,25,5000101,acid,medium,3,1,0,0,9,0,12.100000000000003,0.08944059777213997,48.73602222182348,101
linear_clip_instead_of_tanh,25,5000101,acid,medium,3,1,1,0,5,0,12.66,0.03600322744900719,27.533540001604706,101
full,26,5000101,acid,medium,1,1,0,0,4,2,4.57,0.08475797494257176,46.80174999884912,101
no_ph_rate_bonus,26,5000101,acid,medium,1,1,1,0,5,2,4.140000000000001,0.04354661126985793,36.13943999953335,101
no_uncertainty_factor,26,5000101,acid,medium,1,1,1,0,4,3,4.4799999999999995,0.031088108168908057,43.43157500261441,101
no_buffering_factor,26,5000101,acid,medium,1,1,0,0,4,2,4.57,0.06870776862783057,38.5830499981239,101
