method,method_label,training_seed,evaluation_seed,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_steps_mean,steps_mean,overshoots_mean,total_volume_mean_ml,final_abs_error_mean
ppo_from_random,PPO from random actor,303,902,3000,69.8,28.53333333333333,18.0,1.4000000000000001,13.506208213944603,20.775666666666666,8.382333333333333,19.308916666666665,0.43096082103919126
ppo_from_random,PPO from random actor,303,903,3000,70.39999999999999,28.76666666666667,18.3,1.0,13.515625,20.939,8.097,19.16365,0.43465718779809115
ppo_from_random,PPO from random actor,303,904,3000,70.23333333333333,29.299999999999997,17.8,1.4666666666666666,13.161841480778358,20.409666666666666,8.162,18.81276666666667,0.40321857061600547
ppo_from_random,PPO from random actor,303,905,3000,69.43333333333334,28.633333333333333,18.0,1.4000000000000001,13.455112818050889,20.961666666666666,8.29,19.10860666666667,0.44267099634172474
ppo_from_pf_imitation,PPO from PF imitation,404,901,3000,88.2,37.53333333333334,4.033333333333333,2.833333333333333,6.393046107331822,10.449,4.63,8.421723333333333,0.13816849200051387
ppo_from_pf_imitation,PPO from PF imitation,404,902,3000,88.93333333333334,39.233333333333334,4.166666666666666,2.2666666666666666,6.466266866566716,10.39,4.584,8.295276666666666,0.13184896946548091
ppo_from_pf_imitation,PPO from PF imitation,404,903,3000,88.96666666666667,38.333333333333336,3.966666666666667,2.2333333333333334,6.254402397901836,10.164666666666667,4.460333333333334,8.547906666666666,0.12576991388561387
ppo_from_pf_imitation,PPO from PF imitation,404,904,3000,88.4,38.13333333333333,4.233333333333333,2.7666666666666666,6.331447963800905,10.302666666666667,4.5023333333333335,8.378693333333334,0.1333890176357335
ppo_from_pf_imitation,PPO from PF imitation,404,905,3000,87.56666666666668,37.6,4.566666666666666,3.1333333333333333,6.4887704606014465,10.645,4.581333333333333,8.602636666666667,0.1334370426312673
random_actor_untrained,Untrained random actor,404,901,3000,34.36666666666667,17.599999999999998,42.36666666666667,0.6,6.161978661493696,9.018666666666666,7.595,42.38771,1.1359787876929572
random_actor_untrained,Untrained random actor,404,902,3000,33.766666666666666,17.2,43.5,0.36666666666666664,6.6386969397828235,8.996666666666666,7.584,42.753009999999996,1.151921179174074
random_actor_untrained,Untrained random actor,404,903,3000,32.43333333333333,16.7,44.0,0.4,6.291880781089414,9.075666666666667,7.584,42.88409333333333,1.1546297619200674
random_actor_untrained,Untrained random actor,404,904,3000,32.33333333333333,15.566666666666668,43.4,0.5666666666666667,6.265979381443299,8.951666666666666,7.54,42.834403333333334,1.147521903315765
random_actor_untrained,Untrained random actor,404,905,3000,32.7,16.133333333333333,43.46666666666666,0.5666666666666667,6.439347604485219,9.031333333333333,7.594333333333333,42.66641333333333,1.184425413761492
ppo_from_random,PPO from random actor,404,901,3000,81.26666666666667,37.8,9.8,1.5,9.464725184577523,16.536666666666665,11.341,15.818973333333332,0.2769608434408422
ppo_from_random,PPO from random actor,404,902,3000,79.93333333333334,36.63333333333333,11.566666666666666,1.6,9.209341117598,16.820333333333334,11.720666666666666,16.049986666666666,0.31654500541160907
ppo_from_random,PPO from random actor,404,903,3000,80.56666666666666,36.333333333333336,10.733333333333334,1.3333333333333335,9.532478278858088,16.913,11.55,16.186519999999998,0.2764961117493983
ppo_from_random,PPO from random actor,404,904,3000,80.2,35.699999999999996,10.766666666666666,1.7333333333333332,9.325436408977556,16.787333333333333,11.638333333333334,16.06428,0.2935256129725288
ppo_from_random,PPO from random actor,404,905,3000,79.93333333333334,35.93333333333334,11.200000000000001,1.7666666666666668,9.417848206839032,16.903666666666666,11.711333333333334,16.177173333333332,0.2890356125428782
ppo_from_pf_imitation,PPO from PF imitation,555,901,3000,89.0,33.766666666666666,3.9,2.933333333333333,8.379775280898876,11.974666666666666,3.6433333333333335,7.856466666666667,0.12424647343119025
