mixture,system,checkpoint,naoh_volume_ml,measured_titration_linear_interpolation_ph,pf_posterior_mean_ph,pf_credible_lower_2p5_ph,pf_credible_upper_97p5_ph
3,pHBA + SSA,0,2.36,3.9124,4.276567452170147,1.466538553093585,11.030107500026912
3,pHBA + SSA,0,2.38,3.9342,4.291451348412263,1.467929495744654,11.095945973269394
3,pHBA + SSA,0,2.4,3.956,4.302876023528144,1.4693198636329776,11.153142148402978
3,pHBA + SSA,0,2.42,3.9778000000000002,4.3143303337801955,1.470709659809268,11.20365385773275
3,pHBA + SSA,0,2.44,3.9996,4.329505506700053,1.4720988873179044,11.249094877741516
3,pHBA + SSA,0,2.46,4.0214,4.345374543559347,1.4734875491969808,11.29015604950279
3,pHBA + SSA,0,2.48,4.043200000000001,4.360632284730731,1.4748756484783452,11.327568887957923
3,pHBA + SSA,0,2.5,4.065,4.370671974689696,1.4762631881876436,11.361921477496047
3,pHBA + SSA,0,2.52,4.0868,4.3803939099011755,1.4776501713443642,11.393670282145067
3,pHBA + SSA,0,2.54,4.1086,4.390412834421678,1.479036600961876,11.423176710702752
3,pHBA + SSA,0,2.56,4.1304,4.399668237703534,1.4804224800474746,11.450731804782158
3,pHBA + SSA,0,2.58,4.152200000000001,4.409037360730862,1.4818078116024198,11.47657339818533
3,pHBA + SSA,0,2.6,4.174,4.423999075318939,1.483192598621979,11.500898344995203
3,pHBA + SSA,0,2.62,4.1958,4.439241518066452,1.4845768440954683,11.523871424933198
3,pHBA + SSA,0,2.64,4.2176,4.4492498147588275,1.4859605510062899,11.54563195382196
3,pHBA + SSA,0,2.66,4.239400000000001,4.459104199115812,1.487343722331977,11.566298774171273
3,pHBA + SSA,0,2.68,4.2612000000000005,4.4723438814235115,1.4887263610442294,11.585974080050253
3,pHBA + SSA,0,2.7,4.283,4.4822043962617135,1.4901084701089555,11.604746388462136
3,pHBA + SSA,0,2.72,4.3048,4.4957463600473355,1.4914900524863102,11.622692876033923
3,pHBA + SSA,0,2.74,4.326600000000001,4.505071895218543,1.492871111130735,11.639881237059889
3,pHBA + SSA,0,2.7600000000000002,4.348400000000001,4.517605418912133,1.4942516489909958,11.65637117593758
3,pHBA + SSA,0,2.7800000000000002,4.3702000000000005,4.526323851023251,1.4956316690102218,11.672215617066215
