mixture,system,checkpoint,naoh_volume_ml,measured_titration_linear_interpolation_ph,pf_posterior_mean_ph,pf_credible_lower_2p5_ph,pf_credible_upper_97p5_ph
4,TPA + acetic acid,0,2.7600000000000002,4.4956000000000005,4.517605418912133,1.4942516489909958,11.65637117593758
4,TPA + acetic acid,0,2.7800000000000002,4.5018,4.526323851023251,1.4956316690102218,11.672215617066215
4,TPA + acetic acid,0,2.8000000000000003,4.508,4.53512564879975,1.4970111741259426,11.687461694058303
4,TPA + acetic acid,0,2.82,4.5142,4.5467386112374495,1.4983901672701272,11.702151564873336
4,TPA + acetic acid,0,2.84,4.5204,4.55593811195064,1.4997686513692212,11.716323088387469
4,TPA + acetic acid,0,2.86,4.5266,4.564676627823328,1.5011466293441837,11.73001038973753
4,TPA + acetic acid,0,2.88,4.5328,4.577058689168476,1.502524104110524,11.743244335684793
4,TPA + acetic acid,0,2.9,4.539000000000001,4.585659615789408,1.5039010785783393,11.756052936655166
4,TPA + acetic acid,0,2.92,4.5452,4.594454109074291,1.5052775556523499,11.768461688622573
4,TPA + acetic acid,0,2.94,4.5514,4.606832808182135,1.5066535382319364,11.780493865323823
4,TPA + acetic acid,0,2.96,4.5576,4.616819235468792,1.5080290292111758,11.792170769220064
4,TPA + acetic acid,0,2.98,4.5638000000000005,4.63015988845878,1.5094040314788764,11.803511948001727
4,TPA + acetic acid,0,3.0,4.57,4.639700785387699,1.5107785479186089,11.81453538216342
4,TPA + acetic acid,0,3.02,4.5766,4.648715742795717,1.512152581408754,11.82525764816586
4,TPA + acetic acid,0,3.04,4.583200000000001,4.662078290912229,1.513526134822524,11.835694060902217
4,TPA + acetic acid,0,3.06,4.5898,4.672050618988955,1.5148992110280024,11.845858798540668
4,TPA + acetic acid,0,3.08,4.5964,4.68097294722579,1.5162718128881822,11.855765012296356
4,TPA + acetic acid,0,3.1,4.603000000000001,4.688937106063375,1.5176439432609925,11.865424923264548
4,TPA + acetic acid,0,3.12,4.6096,4.6968165277162495,1.519015604999339,11.874849908103023
4,TPA + acetic acid,0,3.14,4.6162,4.704769329001798,1.5203868009511377,11.884050575069931
4,TPA + acetic acid,0,3.16,4.622800000000001,4.712968345998325,1.5217575339593323,11.893036831691244
4,TPA + acetic acid,0,3.18,4.6294,4.721924683880157,1.5231278068619605,11.901817945139683
4,TPA + acetic acid,0,3.2,4.636,4.7400785167057675,1.5244976224921554,11.91040259624738
4,TPA + acetic acid,0,3.22,4.642600000000001,4.750638414849004,1.5258669836781924,11.918798927941232
4,TPA + acetic acid,0,3.24,4.6492,4.763964599373808,1.5272358932435206,11.92701458877793
4,TPA + acetic acid,0,3.2600000000000002,4.6558,4.773690366296589,1.5286043540067937,11.935056772161957
4,TPA + acetic acid,0,3.2800000000000002,4.662400000000001,4.785057354312544,1.529972368781904,11.942932251750218
4,TPA + acetic acid,0,3.3000000000000003,4.6690000000000005,4.794121377544929,1.531339940378011,11.950647413479778
4,TPA + acetic acid,0,3.3200000000000003,4.6756,4.8031041038057225,1.5327070715995776,11.958208284598008
4,TPA + acetic acid,0,3.34,4.6822,4.814323371548477,1.534073765246398,11.96562056002561
4,TPA + acetic acid,0,3.36,4.6888000000000005,4.839238600023948,1.5354400241136306,11.97288962634131
4,TPA + acetic acid,0,3.38,4.6954,4.849978192854943,1.5368058509918283,11.980020583641046
4,TPA + acetic acid,0,3.4,4.702,4.859403697627553,1.5381712486669716,11.987018265493898
4,TPA + acetic acid,0,3.42,4.708600000000001,4.8684511190832085,1.5395362199204965,11.993887257190043
4,TPA + acetic acid,0,3.44,4.7152,4.880802185048229,1.540900767529327,12.00063191245335
4,TPA + acetic acid,0,3.46,4.7218,4.892445212362627,1.5422648942659047,12.007256368771007
4,TPA + acetic acid,0,3.48,4.728400000000001,4.903890206951124,1.543628602898219,12.013764561475263
4,TPA + acetic acid,0,3.5,4.735,4.914908051302121,1.544991896189838,12.020160236697276
4,TPA + acetic acid,0,3.52,4.7416,4.923938999693918,1.546354776899936,12.02644696329974
4,TPA + acetic acid,0,3.54,4.748200000000001,4.932844515546258,1.5477172477833272,12.032628143883404
4,TPA + acetic acid,0,3.56,4.7548,4.941665366182693,1.5490793115904906,12.038707024952437
4,TPA + acetic acid,0,3.58,4.7614,4.9506800845814185,1.5504409710676024,12.044686706314572
4,TPA + acetic acid,0,3.6,4.768000000000001,4.964076240521596,1.5518022289565643,12.050570149784228
4,TPA + acetic acid,0,3.62,4.7746,4.978866635646425,1.5531630879950327,12.056360187249584
4,TPA + acetic acid,0,3.64,4.7812,4.990886620117219,1.5545235509164463,12.062059528158713
4,TPA + acetic acid,0,3.66,4.787800000000001,5.000352209654096,1.5558836204500563,12.067670766474183
4,TPA + acetic acid,0,3.68,4.7944,5.009669529744885,1.5572432993209544,12.073196387140843
4,TPA + acetic acid,0,3.7,4.801,5.01992216879489,1.5586025902501008,12.078638772107045
4,TPA + acetic acid,0,3.72,4.807600000000001,5.034824290980997,1.5599614959543522,12.084000205935883
4,TPA + acetic acid,0,3.74,4.8142000000000005,5.051700954436881,1.5613200191464913,12.089282881039434
4,TPA + acetic acid,0,3.7600000000000002,4.8208,5.062410761189342,1.5626781625352528,12.09448890256601
4,TPA + acetic acid,0,3.7800000000000002,4.827400000000001,5.07537893834426,1.5640359288253527,12.099620292967685
