family,policy,training_seed,domain,benchmark_seed,checkpoint_sha256,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_additions_mean,additions_per_task_mean,overshoots_per_task_mean,total_volume_mean_ml,final_abs_error_mean
F6,ppo_seed_303,303,independent_j123,101,45f1f6b355990c92caf84630f6f1f70870cd96a7d93dcef51f6546ad6954b847,3000,89.66666666666666,42.333333333333336,5.3,2.0666666666666664,5.6680297397769515,9.194,5.302333333333333,8.036436666666667,0.13877350825459814
F6,ppo_seed_303,303,independent_j123,202,45f1f6b355990c92caf84630f6f1f70870cd96a7d93dcef51f6546ad6954b847,3000,90.10000000000001,44.43333333333334,5.5,1.7999999999999998,5.662597114317425,9.069,5.198,8.036676666666667,0.13964044008682852
F6,ppo_seed_303,303,independent_j123,303,45f1f6b355990c92caf84630f6f1f70870cd96a7d93dcef51f6546ad6954b847,3000,90.73333333333333,44.766666666666666,4.6,1.9,5.559882439382807,8.658666666666667,5.006,7.8155133333333335,0.12370276679223806
F6,ppo_seed_303,303,independent_j123,404,45f1f6b355990c92caf84630f6f1f70870cd96a7d93dcef51f6546ad6954b847,3000,90.36666666666666,44.03333333333334,4.633333333333333,2.3333333333333335,5.554407967539653,8.739333333333333,4.902333333333333,7.6011999999999995,0.12786501362669112
F6,ppo_seed_303,303,independent_j123,555,45f1f6b355990c92caf84630f6f1f70870cd96a7d93dcef51f6546ad6954b847,3000,90.10000000000001,43.36666666666667,5.0,2.4,5.706992230854606,8.895,5.024,7.989943333333334,0.1421595629367639
F6,ppo_seed_404,404,independent_j123,101,17bf4882bd8ea515f8de48a81eacb249fa1e7323480fb6f11fac388615b77aeb,3000,87.03333333333333,36.86666666666667,5.033333333333333,3.033333333333333,7.760245116813482,12.227333333333334,5.418,7.744669999999999,0.14605744922101557
F6,ppo_seed_404,404,independent_j123,202,17bf4882bd8ea515f8de48a81eacb249fa1e7323480fb6f11fac388615b77aeb,3000,86.9,37.4,4.733333333333333,2.7,7.471039509014193,12.237333333333334,5.537,7.755769999999999,0.13289412207472673
F6,ppo_seed_404,404,independent_j123,303,17bf4882bd8ea515f8de48a81eacb249fa1e7323480fb6f11fac388615b77aeb,3000,88.6,38.5,3.5333333333333337,2.7666666666666666,7.288939051918736,11.253,4.824666666666666,7.49508,0.11698639085008612
F6,ppo_seed_404,404,independent_j123,404,17bf4882bd8ea515f8de48a81eacb249fa1e7323480fb6f11fac388615b77aeb,3000,87.6,35.86666666666667,4.0,2.933333333333333,7.411339421613394,11.760666666666667,4.9896666666666665,7.468716666666666,0.12913508566697032
F6,ppo_seed_404,404,independent_j123,555,17bf4882bd8ea515f8de48a81eacb249fa1e7323480fb6f11fac388615b77aeb,3000,87.76666666666667,37.0,4.3,2.533333333333333,7.477022407899734,11.798666666666668,5.214666666666667,7.832040000000001,0.13516258747467402
F6,ppo_seed_555,555,independent_j123,101,0c51019ff40889efd3431ecd126ea517baee468aec090886187cc334707aee1b,3000,88.3,40.86666666666667,5.2,2.1,6.713099282748207,11.005666666666666,5.128,7.798996666666666,0.16805504961911735
F6,ppo_seed_555,555,independent_j123,202,0c51019ff40889efd3431ecd126ea517baee468aec090886187cc334707aee1b,3000,88.06666666666668,39.5,4.966666666666667,2.3666666666666667,6.5779712339137015,10.983333333333333,5.250666666666667,7.666736666666666,0.1637137611354795
F6,ppo_seed_555,555,independent_j123,303,0c51019ff40889efd3431ecd126ea517baee468aec090886187cc334707aee1b,3000,89.73333333333333,42.333333333333336,4.0,2.3,6.640416047548292,10.252666666666666,4.744,7.459156666666666,0.12983671969677588
F6,ppo_seed_555,555,independent_j123,404,0c51019ff40889efd3431ecd126ea517baee468aec090886187cc334707aee1b,3000,88.56666666666668,40.266666666666666,4.666666666666667,1.7999999999999998,6.50470455400828,10.871666666666666,4.887,7.320543333333332,0.15670365419605672
F6,ppo_seed_555,555,independent_j123,555,0c51019ff40889efd3431ecd126ea517baee468aec090886187cc334707aee1b,3000,88.1,40.06666666666667,5.166666666666667,1.6666666666666667,6.451381006432085,11.001666666666667,5.215,7.82389,0.16129624056019987
