BASE,,SSA1,,SSA2,,SSA3,,SSA4R,,SSA5R,,SSA6,,SSA7,,SSA8,,SSA9,,SSA10,,SSA11,,SSAP,,CUP,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs
668.0070801,-0.000499467,668.0070801,0.030806711,668.0070801,0.052419093,668.0070801,0.064295664,668.0144653,0.063895524,668.0144653,0.066405959,668.0070801,0.058359742,668.0070801,0.053782791,668.0070801,0.040983431,668.0070801,0.034313168,668.0070801,0.018529201,668.0070801,0.010847783,668.0070801,0.00161775,668.0070801,0.059182022
666.0074463,-0.000382892,666.0074463,0.02835005,666.0074463,0.05153564,666.0074463,0.062627494,666.0150146,0.064401247,666.0150146,0.068278268,666.0074463,0.056257211,666.0074463,0.056556098,666.0074463,0.040592078,666.0074463,0.031709705,666.0074463,0.020367356,666.0074463,0.008761184,666.0074463,0.002212717,666.0074463,0.060763352
664.0065308,-0.000382271,664.0065308,0.028171279,664.0065308,0.049662936,664.0065308,0.061555687,664.0142822,0.060043342,664.0142822,0.068089798,664.0065308,0.056182373,664.0065308,0.054568529,664.0065308,0.041403379,664.0065308,0.031305198,664.0065308,0.020809103,664.0065308,0.009319131,664.0065308,0.0009479424916,664.0065308,0.057763383
662.0043335,-0.000232911,662.0043335,0.027733985,662.0043335,0.04899244,662.0043335,0.058097042,662.0124512,0.056469209,662.0124512,0.062722027,662.0043335,0.05516813,662.0043335,0.053583227,662.0043335,0.039716028,662.0043335,0.031472433,662.0043335,0.018809862,662.0043335,0.011057,662.0043335,0.0007782855537,662.0043335,0.053304315
660.0009766,-0.000167139,660.0009766,0.026040325,660.0009766,0.04811734,660.0009766,0.058596503,660.0092773,0.05939056,660.0092773,0.064326584,660.0009766,0.053898185,660.0009766,0.052771352,660.0009766,0.040462323,660.0009766,0.031116139,660.0009766,0.020052234,660.0009766,0.010918333,660.0009766,0.00131669,660.0009766,0.053377401
657.9963989,-0.000106999,657.9963989,0.028019335,657.9963989,0.046602234,657.9963989,0.056545276,658.0050049,0.056415532,658.0050049,0.059852023,657.9963989,0.054010734,657.9963989,0.051107645,657.9963989,0.038537141,657.9963989,0.030650789,657.9963989,0.019556634,657.9963989,0.011153984,657.9963989,0.001901755,657.9963989,0.050924003
655.9906616,0.0008380638319,655.9906616,0.025918774,655.9906616,0.047160167,655.9906616,0.058191035,655.9994507,0.05620721,655.9994507,0.059638098,655.9906616,0.054017801,655.9906616,0.052406155,655.9906616,0.040459368,655.9906616,0.032026269,655.9906616,0.021065917,655.9906616,0.010620892,655.9906616,0.003129003,655.9906616,0.048522536
653.9837036,-0.000847301,653.9837036,0.025559813,653.9837036,0.044355683,653.9837036,0.05601548,653.9927979,0.054370921,653.9927979,0.059495933,653.9837036,0.049585603,653.9837036,0.04865209,653.9837036,0.036851738,653.9837036,0.029357774,653.9837036,0.017586563,653.9837036,0.009162934,653.9837036,0.001262246,653.9837036,0.047520891
652.012085,0.0006318181404,652.012085,0.025226362,652.012085,0.043429416,652.012085,0.055556543,651.9848633,0.05348115,651.9848633,0.059917808,652.012085,0.049494848,652.012085,0.048860498,652.012085,0.037190489,652.012085,0.029626595,652.012085,0.018415648,652.012085,0.010457094,652.012085,0.003048001,652.012085,0.046426162
650.0027466,-0.000551435,650.0027466,0.021253612,650.0027466,0.040717836,650.0027466,0.052274279,650.0122681,0.049788941,650.0122681,0.057043929,650.0027466,0.044969846,650.0027466,0.046558749,650.0027466,0.034643948,650.0027466,0.02775537,650.0027466,0.017827423,650.0027466,0.007875968,650.0027466,0.0008146702312,650.0027466,0.0407749
