regime,benchmark_seed,method,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,steps_mean,successful_steps_mean,crossings_mean,total_volume_mean_ml,final_abs_error_mean,controller_time_ms_per_step_mean
episode_bias_0p10,202,new_pf,1000,59.599999999999994,33.1,1.5,37.3,6.563,5.409395973154362,3.467,7.894120000000001,0.11095510196840924,62.12219542309775
episode_bias_0p10,202,new_ppo,1000,57.9,32.2,3.0,36.7,8.17,5.839378238341969,3.388,8.48707,0.14637504331147885,0.14779032589567043
episode_bias_0p10,303,new_pf,1000,60.0,33.6,1.5,37.5,6.139,5.101666666666667,2.95,7.9362400000000015,0.10940767756059003,63.70123351713622
episode_bias_0p10,303,new_ppo,1000,57.49999999999999,31.7,2.4,37.9,8.039,5.989565217391305,3.197,8.813,0.13961676770692016,0.15291058882081604
episode_bias_0p10,404,new_pf,1000,60.8,31.7,2.0,36.1,6.418,5.328947368421052,3.348,7.609730000000002,0.12127490487162004,67.66920117253197
episode_bias_0p10,404,new_ppo,1000,57.9,29.9,3.1,36.6,8.267,6.1450777202072535,3.434,8.24385,0.1485512639270056,0.16080164626298607
episode_bias_0p10,555,new_pf,1000,60.3,32.300000000000004,0.8999999999999999,37.1,5.956,4.807628524046435,2.956,7.651110000000002,0.10554515781901645,66.90399810044657
episode_bias_0p10,555,new_ppo,1000,60.5,34.2,3.0,34.599999999999994,7.792,5.692561983471075,3.116,8.310289999999998,0.14012747872717177,0.1596528939667599
random_walk_drift_0p01,101,new_pf,1000,87.5,44.0,1.0,9.6,6.261,4.606857142857143,3.163,7.874970000000001,0.07099035012859474,67.63606871287952
random_walk_drift_0p01,101,new_ppo,1000,85.8,45.1,3.0,9.8,7.633,5.477855477855478,2.968,8.541259999999998,0.10798304096171986,0.16309472287670765
random_walk_drift_0p01,202,new_pf,1000,87.1,43.4,1.0999999999999999,10.299999999999999,6.149,4.817451205510907,3.08,7.917640000000001,0.06860601272813235,170.45567143490325
random_walk_drift_0p01,202,new_ppo,1000,83.89999999999999,42.0,2.6,11.5,7.68,5.177592371871276,3.112,8.39292,0.10125460621349493,0.42936805709605713
random_walk_drift_0p01,303,new_pf,1000,88.4,45.800000000000004,1.2,9.3,6.116,4.744343891402715,2.875,7.943090000000001,0.07477130473791846,106.1287066701625
random_walk_drift_0p01,303,new_ppo,1000,84.89999999999999,44.0,2.4,11.5,7.676,5.501766784452297,2.939,8.75858,0.11092083414701691,0.27512820227404766
random_walk_drift_0p01,404,new_pf,1000,87.2,41.099999999999994,1.6,10.2,6.019,4.705275229357798,2.939,7.613220000000001,0.07614897655444369,162.40886634139915
random_walk_drift_0p01,404,new_ppo,1000,86.7,45.4,2.7,9.1,7.822,5.773933102652826,2.925,8.18188,0.09994346384484563,0.4030248580969977
random_walk_drift_0p01,555,new_pf,1000,88.7,43.4,0.8999999999999999,8.6,6.019,4.693348365276212,2.941,7.6937700000000016,0.0691592120934922,176.16301880033288
random_walk_drift_0p01,555,new_ppo,1000,86.5,44.3,2.8000000000000003,9.8,7.262,5.277456647398844,2.932,8.14743,0.09953109959208947,0.449330826351472
response_fraction_0p60,101,new_pf,1000,35.6,17.5,26.700000000000003,32.0,21.224,10.342696629213483,1.114,8.101799999999995,0.6754398405840955,130.29104993598293
response_fraction_0p60,101,new_ppo,1000,42.6,24.4,18.2,54.0,9.225,8.708920187793428,2.431,10.742,0.3159722906056042,0.3766816644182983
