scenario,candidate,baseline,baseline_method,matched_tasks,success_difference_pp,success_difference_cluster_ci95_low,success_difference_cluster_ci95_high,success_p_value_exact,strict_success_005_difference_pp,strict_success_005_p_value_exact,steps_mean_difference,steps_relative_change_percent,steps_p_value,overshoots_mean_difference,overshoots_relative_change_percent,overshoots_p_value,total_added_ml_mean_difference,total_added_ml_relative_change_percent,total_added_ml_p_value,final_abs_error_mean_difference,final_abs_error_relative_change_percent,final_abs_error_p_value,success_p_value_holm,strict_success_005_p_value_holm,steps_p_value_holm,overshoots_p_value_holm,total_added_ml_p_value_holm,final_abs_error_p_value_holm,clear_success_gain
noise_005,td3_precision_efficient,bayesian,bayesian_common,1000,-0.7000000000000001,-4.602499999999999,3.2024999999999864,0.7269043474057002,3.8,0.09047620018552346,0.335,3.733006463115657,0.043304299097201224,0.178,4.477987421383634,4.190839407995896e-05,7.765631130344399,39.49601349186262,3.91412191315891e-107,-0.0007540397756006855,-1.1369688226456327,0.23393069736854477,1.0,1.0,1.0,0.0003771755467196306,2.6224616818164696e-105,1.0,False
noise_010,td3_precision_efficient,bayesian,bayesian_common,1000,-5.5,-10.2,-0.5,0.008890600945857788,-3.1,0.1604413952511665,0.086,0.9115963536145888,0.15481453480801727,0.108,2.7135678391959823,0.001756605718940917,7.39412902826322,36.68105736369409,2.235808388726456e-107,0.00409756264826997,4.713213906383412,0.2391755997810685,0.6134514652641874,1.0,1.0,0.008783028594704586,1.5203497043339901e-105,1.0,False
nominal,td3_precision_efficient,bayesian,bayesian_original,5000,-0.18,-0.64,0.26,0.31350305329645284,5.96,2.257031026916647e-09,0.3666,3.91465914915428,1.2645378236038173e-05,0.2118,5.134794414274637,2.2527089575256264e-20,7.455716114991007,37.194164698754776,0.0,-0.0017402730288011228,-2.9230600456885396,1.6230716762636213e-08,1.0,1.8507654420716504e-07,0.0008093042071064431,1.0587732100370444e-18,0.0,1.1848423236724435e-06,False
out_of_range,td3_precision_efficient,bayesian,bayesian_common,1000,0.3,-0.8,1.7,0.6900379657745361,7.5,0.0008015475297600541,1.004,9.711743083768635,7.175238942244196e-16,-0.017,-0.31284504968716137,3.5832944222626483e-05,8.582985740658454,42.54219525952591,4.109082169158146e-115,-0.0025295293138762388,-3.166460410595677,0.05177702726566451,1.0,0.056108327083203784,5.524933985528031e-14,0.00035832944222626483,2.9996299834854464e-113,1.0,False
partial_bias,td3_precision_efficient,bayesian,bayesian_common,1000,5.5,-0.1,10.5,0.0016216284047333108,3.1,0.02968511637840341,-4.872,-23.595505617977526,2.687106390939626e-08,1.345,84.96525584333544,6.373094133216918e-66,9.956313579855001,48.09917887033777,7.517143170207418e-137,-0.3239643374760566,-44.26130316159536,8.593947185878648e-16,0.120000501950265,1.0,1.9078455375671344e-06,4.907282482577027e-64,5.863371672761786e-135,7.132976164279278e-14,False
partial_response,td3_precision_efficient,bayesian,bayesian_common,1000,7.7,-1.3,17.4,0.00020445254235149413,7.7,1.1424815931291579e-05,-5.534,-26.08039964183044,1.8647418024906068e-10,1.405,92.3734385272847,1.3428807388460626e-70,10.025578900473736,49.95241168013634,2.3789278443082962e-135,-0.3461939527231738,-47.07891946447176,4.101190622910593e-15,0.01574284576106505,0.0008797108267094516,1.379908933843049e-08,1.047446976299929e-68,1.8317744401173882e-133,3.32196440455758e-13,True
tetra_noise,td3_precision_efficient,bayesian,bayesian_common,1000,4.0,0.3,7.802499999999986,0.004979102414443138,8.200000000000001,0.00020468770682433487,-0.28,-3.6022127878553887,6.0897844667795916e-05,1.309,137.78947368421055,2.1520086100942414e-91,8.970122764303953,30.81225687350882,5.887372036626435e-141,-0.006557787665770757,-11.351010793138462,2.4336034917792753e-05,0.35849537383990593,0.015146890305000781,0.003775666369403347,1.7646470602772777e-89,4.709897629301149e-139,0.0016791864093277,False
tetraprotic,td3_precision_efficient,bayesian,bayesian_common,1000,0.0,0.0,0.0,1.0,14.499999999999998,2.7573664467148157e-10,-0.332,-4.24878423342718,3.181237408475369e-07,1.248,132.90734824281148,1.3149158713739628e-87,8.579045785296334,29.279270275663013,2.931261219409879e-140,-0.008599258032807708,-15.07091499283335,9.850427764359438e-11,1.0,2.288614150773297e-08,2.1632414377632507e-05,1.0650818558129099e-85,2.3156963633338044e-138,7.584829378556767e-09,False
titrant_low,td3_precision_efficient,bayesian,bayesian_common,1000,-0.6,-1.8,0.3,0.0703125,4.6,0.04448814876805157,0.575,6.182130953660889,0.004823346914406395,-0.154,-4.4037746639977104,0.9348708100320878,3.3407711256359773,8.472135100088861,7.156740375061504e-25,-0.000792469234314047,-1.4735307669142002,0.09104017684558535,1.0,1.0,0.23152065189150697,0.9348708100320878,1.789185093765376e-23,1.0,False
volume_large,td3_precision_efficient,bayesian,bayesian_common,1000,76.6,73.7975,79.6,3.002273829160433e-223,37.3,2.7037492355024762e-77,-30.256,-74.42684246777526,4.613671281868108e-140,2.452,216.79929266136162,2.1652184290648966e-124,18.104945097535477,76.00667205649773,3.2388770788578526e-162,-1.3296669247091135,-96.01012499554953,1.0187405671160161e-149,2.7020464462443897e-221,2.4063368195972037e-75,4.0600307280439356e-138,1.88374003328646e-122,2.7854342878177533e-160,9.066791047332544e-148,True
volume_small,td3_precision_efficient,bayesian,bayesian_common,1000,0.8999999999999999,-0.2,2.1,0.12207812070846558,-6.800000000000001,0.0017959033154627553,1.235,14.70588235294117,1.9302234744396963e-46,1.019,24.685077519379846,9.430072293370684e-35,6.452956977752377,51.01708311066641,4.282654102840587e-87,0.005511515126175506,8.599410045307794,0.0014630769586061261,1.0,0.12212142545146736,1.582783249040551e-44,6.035246267757238e-33,2.69807208478957e-85,0.09802615622661046,False
stress_all,td3_precision_efficient,bayesian,bayesian_common,22000,17.254545454545458,16.436363636363637,18.16375,0.0,11.881818181818183,2.19921586356614e-151,-6.827545454545454,-39.084389766647924,1.5253917000187626e-197,1.1161818181818182,39.6281831972372,0.0,10.954511549466488,51.28809516146218,0.0,-0.42181067412472445,-81.83986608902786,0.0,0.0,2.089255070387833e-149,1.4491221150178245e-195,0.0,0.0,0.0,True
