benchmark_seed,subgroup,subgroup_value,tasks,observations_mean,curve_rmse_ph_mean,curve_rmse_ph_median,curve_mae_ph_mean,curve_correlation_mean,curve_r2_mean,curve_within_0p25_percent_mean,concentration_relative_error_percent_mean,concentration_relative_error_percent_median,concentration_95_coverage_percent,pair_count_accuracy_percent,true_pair_probability_mean,pka_evaluable_tasks,pka_mae_if_k_correct_mean,pka_rmse_if_k_correct_mean,pka_95_coverage_if_k_correct_percent,control_success_rate_percent,control_final_true_error_mean
404,true_pair_count,3,74,7.635135135135135,1.2074346093215849,1.0385352804622894,0.498162939590947,0.9670329227646379,0.9117681936133389,78.52106765150242,62.77975271451214,32.51153898686554,89.1891891891892,66.21621621621621,0.4278589597327753,49,0.9763761944210422,1.0781172969965722,88.43537414965988,93.24324324324324,0.06207004059581295
555,true_pair_count,3,66,6.893939393939394,1.2903665048722968,1.0231736222157937,0.5487596593312504,0.9627635609974463,0.887754851474972,77.71503858460379,51.444357580507564,31.243612120798936,93.93939393939394,62.121212121212125,0.471569866136267,41,0.9018370114133129,1.018203691057423,86.17886178861788,96.96969696969697,0.06308943709690683
101,pka_family,overlapping,21,7.761904761904762,1.7412735657916611,1.5268085483646363,0.7373630383541246,0.9408661435711306,0.8564093963128226,73.67642709257618,79.99637146527134,43.61462606848524,85.71428571428571,28.57142857142857,0.32015363408870534,6,2.1648185917288925,2.4343890743592254,72.22222222222221,100.0,0.06561928714099133
202,pka_family,overlapping,27,12.777777777777779,1.8291869644788799,1.816450125857267,0.8264247416201255,0.9322412642918306,0.822265461326518,71.95767195767196,70.83763298539056,50.550949651143185,74.07407407407408,51.85185185185185,0.3894627134243337,14,1.675351795419477,1.935400279298836,60.71428571428571,81.48148148148148,0.12386754778846212
303,pka_family,overlapping,18,8.833333333333334,1.4904441007577665,1.5554256089417589,0.630450246235189,0.9549145939387154,0.892823146659722,74.91373360938579,71.27035809310276,51.951348308937185,88.88888888888889,44.44444444444444,0.34806829049711824,8,1.3348412243049101,1.5924151274081575,60.416666666666664,94.44444444444444,0.0797806781475823
404,pka_family,overlapping,32,7.6875,1.6084115561293673,1.4090013201329339,0.6848584390523664,0.9469712103290745,0.8601784285826174,76.16459627329192,102.16334600723658,76.50159550339534,84.375,31.25,0.3651635950295874,10,1.8030023251683567,2.0146851797508996,51.66666666666667,93.75,0.06259770051005523
555,pka_family,overlapping,30,9.933333333333334,1.7768120726578471,1.5509489905532259,0.7654517438579611,0.9385935824031458,0.8433219644330042,74.59627329192547,84.57180942189524,70.54084367581794,80.0,26.666666666666668,0.32038713582855444,8,1.6015434222375924,1.906393462471366,70.83333333333333,93.33333333333333,0.08470887267072712
101,pka_family,separated,169,5.585798816568047,1.1848165366599135,1.013360460254704,0.4787659231937605,0.9690280846272621,0.9203681729150133,78.83788452350325,40.239786954436795,22.36181338800458,91.71597633136095,42.01183431952663,0.3823668441753784,71,0.780898155824349,0.8390235858780968,91.54929577464789,97.63313609467455,0.06364506131620963
202,pka_family,separated,137,6.197080291970803,1.1683393174961143,1.0085352669303886,0.4638295695636197,0.9703163123097255,0.9210307703915251,78.89558870199936,40.5878571320331,30.314346345889295,88.32116788321169,37.95620437956204,0.36286202164748,52,0.859226016228076,0.9337252448774086,94.23076923076923,94.16058394160584,0.06332451756661396
303,pka_family,separated,150,5.846666666666667,1.0262256530884515,0.8555522452148381,0.39004267499670997,0.9760488722856738,0.9408104841179185,81.59834368530021,40.17840458462531,25.746212155291225,89.33333333333333,44.0,0.3882266699970627,66,0.8174567767079874,0.8832625822327207,85.35353535353535,95.33333333333334,0.06775371717695675
404,pka_family,separated,140,6.578571428571428,1.1094436739865061,1.0594236562833514,0.425106918277764,0.9737052567814739,0.9348631186625678,80.8340727595386,49.38614293872744,30.87392742726427,90.0,47.14285714285714,0.39589455454811606,66,0.7798059491523611,0.8531328673390753,86.61616161616162,92.85714285714286,0.07139209668504254
555,pka_family,separated,141,4.6453900709219855,1.1423852949235802,1.0560856283495392,0.4303184747901691,0.9732641136399215,0.9283680984616608,81.15942028985506,38.66922178811943,28.075096492471292,95.74468085106383,41.843971631205676,0.4237192614868347,59,0.8206330663150732,0.9025551113440481,90.11299435028249,98.58156028368793,0.055837794999417795
101,pka_family,single,110,5.9363636363636365,1.0291743883390023,0.8904317219141613,0.3797499883154674,0.9761367369451717,0.9434059842603028,86.13212874082438,39.43371699670636,25.16242546364085,91.81818181818183,50.0,0.438574860874051,55,0.602258173446667,0.602258173446667,92.72727272727272,98.18181818181819,0.06088399798954923
202,pka_family,single,136,6.75,0.9772012843353596,0.8848925750318916,0.33453092837641224,0.9788671572087759,0.9513521976948082,87.74205334307636,49.01006880642777,30.1938049528677,91.17647058823529,57.35294117647059,0.4439025145693928,78,0.9158386046437945,0.9158386046437945,89.74358974358975,94.85294117647058,0.0705361374896734
303,pka_family,single,132,5.598484848484849,1.0814097713613482,0.910608152243132,0.4039720408168415,0.9741978123529459,0.9387084929588745,85.33314511575381,45.677747178371305,22.52807115386328,91.66666666666666,49.24242424242424,0.4469867976802725,65,0.7545931830811562,0.7545931830811562,90.76923076923077,97.72727272727273,0.08218047769108067
404,pka_family,single,128,6.890625,0.9466701741784754,0.8255426167742888,0.33010063503041653,0.9791326715741254,0.9515149354875725,87.77659161490683,42.91968514645119,25.34386004577865,89.0625,55.46875,0.4399727022460434,71,0.8121049753963097,0.8121049753963097,92.95774647887323,96.09375,0.07359648778604785
555,pka_family,single,129,6.48062015503876,1.1413413248462023,0.9538352806099212,0.4234459551993385,0.9712551552729112,0.9321802250432148,85.08353796523666,54.48299169850092,40.14231914878125,89.14728682170544,48.06201550387597,0.41039698101832955,62,0.7297041189478556,0.7297041189478556,95.16129032258065,96.12403100775194,0.05978230871640229
101,difficulty,far,59,10.288135593220339,0.6436731329231843,0.45176744599901186,0.23014848032569982,0.988365286356177,0.9730015331588541,88.11453837246026,35.348192503757694,16.677740418236397,79.66101694915254,52.54237288135594,0.4646603828325534,31,0.46711327253670487,0.49871831028919056,86.02150537634408,91.52542372881356,0.0872392328947294
202,difficulty,far,57,16.666666666666668,0.5822331336850874,0.321207541516115,0.20019541876412572,0.9893369894365172,0.9756343594262858,89.63713631905853,41.39898902247288,29.789714866583523,73.68421052631578,54.385964912280706,0.49813740103290427,31,0.59371390211214,0.6708609562567976,72.58064516129032,77.19298245614034,0.13515382851174315
303,difficulty,far,51,14.27450980392157,0.5708322015574389,0.26468628410129896,0.2060905160633645,0.9892280757104163,0.9752177204506639,88.19875776397517,32.88464862081817,16.512340941077394,74.50980392156863,54.90196078431373,0.4992448195578974,28,0.39420921506191137,0.4277918678805454,76.19047619047619,84.31372549019608,0.17083089510757896
404,difficulty,far,58,13.793103448275861,0.6590560721935088,0.41305272936431825,0.2339699086960042,0.9875350337666949,0.9719230740343386,88.00599700149925,47.2767528826041,24.63749548617471,77.58620689655173,50.0,0.46159038353166437,29,0.4091800350935201,0.452016965994145,82.75862068965517,84.48275862068965,0.14699386014877003
555,difficulty,far,50,12.56,0.6251868888618353,0.37974807782588726,0.20691575628673323,0.988147963854732,0.9733818543577388,90.08695652173914,34.915995029044005,22.868398932652845,84.0,62.0,0.5666237141589896,31,0.35894532755083663,0.3976885603281059,83.87096774193549,88.0,0.07929428639414779
101,difficulty,medium,151,5.490066225165563,1.1335372149791998,0.9632022707592066,0.44851581668164264,0.9712267626256326,0.9275384062130795,81.23071860474683,45.28188433237047,26.347728975457766,90.72847682119205,41.72185430463576,0.3910343690864969,63,0.7123126553060481,0.7484128497845608,92.06349206349206,100.0,0.05200291621679631
202,difficulty,medium,131,6.091603053435114,1.1781137076513888,0.9856886959445494,0.4576441211739489,0.9702453114013777,0.927415127656466,80.64103171969087,46.16423731772558,32.480600406186134,88.54961832061069,45.80152671755725,0.40936561349411693,60,0.893759405684926,0.9391639224520768,87.77777777777777,97.70992366412213,0.05689707943735981
303,difficulty,medium,141,5.056737588652482,1.0253437494637543,0.8765695722376362,0.37758040829927786,0.9772588889803056,0.9462440425216607,83.92581824589224,43.82862893630142,22.861575012431977,91.48936170212765,47.5177304964539,0.4139200572221191,67,0.7046281809787193,0.7447641813059203,85.3233830845771,100.0,0.052918290368262476
404,difficulty,medium,153,6.392156862745098,1.1063372499801296,0.9559405993926309,0.42503949052411344,0.9725882101917707,0.9307762455136622,82.77919863597613,48.307699523327734,29.303049358787483,89.54248366013073,52.28758169934641,0.4189907710692068,80,0.8588404429639652,0.9098950649061855,87.29166666666669,95.42483660130719,0.052028488520415334
555,difficulty,medium,136,5.735294117647059,1.2123790792793092,1.0266776476911876,0.47311285024928107,0.9691416715625548,0.9245493304135344,81.09700401899892,46.940951157464276,33.34113393949454,88.23529411764706,39.705882352941174,0.3841165795432049,54,1.0005384761229843,1.0655217146079248,91.0493827160494,97.79411764705883,0.05441308622200783
101,difficulty,near,90,3.6,1.5652120887790386,1.3868108849848824,0.6318212764637691,0.9547798147720548,0.8870676335476932,76.4527260179434,43.27831970887303,28.302898994617244,100.0,42.22222222222222,0.36805894842739645,38,1.1105439847513139,1.1760771428335441,93.85964912280701,98.88888888888889,0.06479672313028204
202,difficulty,near,112,3.25,1.3824082579028965,1.2145275450697144,0.5356411300875791,0.9619235545646729,0.8987834078183347,80.4569653948536,51.17200368272545,30.535382960744336,95.53571428571429,47.32142857142857,0.344442901633878,53,1.274328185573145,1.3195887323573505,98.74213836477988,96.42857142857143,0.05763849789327391
303,difficulty,near,108,3.0925925925925926,1.3872409318776546,1.2305448930019327,0.5502718627790113,0.9624608292303938,0.9069018202740389,78.89348976305497,50.760518529948435,30.462303792366537,96.29629629629629,40.74074074074074,0.3673821588567773,44,1.2598065411394068,1.3228599067897284,94.69696969696969,97.22222222222221,0.05808405783343613
404,difficulty,near,89,3.044943820224719,1.3535979215158662,1.1606444860341072,0.5065395858190831,0.9648063879057932,0.9148331933958491,81.12219973480356,62.29075379931444,36.68017596204672,95.50561797752809,42.69662921348314,0.3657207679410272,38,1.2258740182644232,1.268762554965813,90.78947368421053,98.87640449438202,0.05541986243359145
555,difficulty,near,114,3.3421052631578947,1.4514984249477412,1.2200360850799084,0.5576653511721795,0.9602569912305684,0.8951141069520298,80.0316007409829,60.42150328965766,37.518412284156625,98.24561403508771,38.59649122807017,0.3660192979828025,44,0.9389766091031823,0.9972053792008544,96.96969696969695,100.0,0.05931069345223828
