benchmark_seed,checkpoint_type,observations,tasks,observations_mean,curve_rmse_ph_mean,curve_rmse_ph_median,curve_mae_ph_mean,curve_correlation_mean,curve_r2_mean,curve_within_0p25_percent_mean,concentration_relative_error_percent_mean,concentration_relative_error_percent_median,concentration_95_coverage_percent,pair_count_accuracy_percent,true_pair_probability_mean,pka_evaluable_tasks,pka_mae_if_k_correct_mean,pka_rmse_if_k_correct_mean,pka_95_coverage_if_k_correct_percent,control_success_rate_percent,control_final_true_error_mean
303,natural_control_end,natural_end,300,5.916666666666667,1.0783597719886848,0.8984160272045166,0.41059605023187656,0.973966349214456,0.9370063677604473,82.84057971014494,44.46363253638219,26.05524906555922,90.33333333333333,46.33333333333333,0.4116716234076783,139,0.8178376543700835,0.8639079737187048,86.45083932853717,96.33333333333334,0.0748231094614088
404,fixed_observation_count,0,300,0.0,1.354118732977402,1.1015101298931615,0.47114475737684464,0.9643920874442449,0.9081586321813825,84.19461697722566,74.36589826557862,46.84011597060799,100.0,42.66666666666667,0.3333333333333333,128,1.5497625337941123,1.5497625337941123,100.0,0.0,1.4009220354699907
404,fixed_observation_count,1,300,1.0,1.2032964380952564,0.9414590567277284,0.4461123549402395,0.970040836834216,0.9249595088486525,82.39130434782608,55.63144551815276,32.02471018091111,91.66666666666666,46.0,0.37074435442040854,138,1.0337308140379586,1.0728433913296196,96.01449275362319,10.333333333333334,1.5091444443083963
404,fixed_observation_count,2,300,2.0,1.1607061651531796,0.9505525743272611,0.43407420970134203,0.9710903430327519,0.9278833103235865,82.67908902691511,52.394707101724485,30.296253466364284,90.0,49.666666666666664,0.3934951760673014,149,0.8956260940182069,0.9350968074874617,93.51230425055928,24.0,0.9477305809355369
404,fixed_observation_count,3,300,3.0,1.1642215407361072,0.9913564199514626,0.43782878409270115,0.9709499095998768,0.9278826623020415,82.56935817805383,52.35386984549283,30.351938486750818,88.33333333333333,46.666666666666664,0.40208879793182933,140,0.8747058601620052,0.9182894408438786,93.33333333333334,37.0,0.6962556175993209
404,fixed_observation_count,5,300,5.0,1.1116951733662976,0.9336644127518251,0.4200278343687776,0.9722532613757516,0.9313158006117389,83.02070393374741,53.055080113327655,30.904941670403055,87.33333333333333,47.0,0.40796117431363094,141,0.8420477751988902,0.8839353204394179,90.89834515366432,57.666666666666664,0.613432637343513
404,fixed_observation_count,8,300,8.0,1.103882903580313,0.9258058051438487,0.4175262624348202,0.9723304807573411,0.931553683193978,83.1159420289855,53.678116604166824,31.90179500551813,87.0,46.0,0.41122706265232284,138,0.8225867140357872,0.8635604765951329,89.4927536231884,76.0,0.2953218957945808
404,fixed_observation_count,12,300,12.0,1.1083256504598344,0.8817083273487918,0.42119495051776223,0.9720162321445097,0.9305784023446885,83.16356107660455,52.25756058694002,31.336779635692796,88.66666666666667,48.333333333333336,0.4128987516406706,145,0.8649138096817015,0.9091461825556268,87.35632183908045,85.0,0.11569479221458796
404,natural_control_end,natural_end,300,6.83,1.0932168881636513,0.9305124793935388,0.4122777329748533,0.9731693221380827,0.9340015268993752,83.29813664596273,52.25668927466388,30.87392742726427,89.0,49.0,0.411423261883922,147,0.8650113547542679,0.9123338387416731,87.30158730158732,94.33333333333334,0.07139456796280615
555,fixed_observation_count,0,300,0.0,1.3837933596275083,1.155099506787999,0.4843706261508523,0.9627981895863854,0.9012171649711824,84.12836438923395,71.27728725898052,41.073010101988686,100.0,43.0,0.3333333333333333,129,1.5586876087909296,1.5586876087909296,100.0,0.0,1.2247080001473443
555,fixed_observation_count,1,300,1.0,1.261211414369298,1.002500785676591,0.46367931859699846,0.968788121772051,0.919519354609516,82.0703933747412,52.33214422865894,35.137322540267306,92.66666666666666,41.0,0.3701442035726116,123,1.0114842392433154,1.0621622541592957,97.15447154471545,11.333333333333332,1.3014452296843952
555,fixed_observation_count,2,300,2.0,1.2358320089009611,1.0603783680727212,0.46729107636550915,0.9683817681408207,0.9181807544923818,81.96066252587991,50.38632865068986,33.94291705005705,93.33333333333333,44.333333333333336,0.38947659029184883,133,0.8972288962504684,0.9466815468600358,96.36591478696744,27.0,0.7904982352384009
555,fixed_observation_count,3,300,3.0,1.2113243446664939,0.9886455235985534,0.45988564816671423,0.968748798378939,0.919006540175842,82.38302277432712,49.56214711421642,33.470366571595704,92.33333333333333,43.333333333333336,0.39822396997086507,130,0.8549348617456116,0.9060080293738173,95.76923076923077,47.0,0.5936983211398437
555,fixed_observation_count,5,300,5.0,1.1929668342240138,1.0237584312782129,0.45508539387281777,0.9692000511285337,0.9214510804290499,82.50103519668737,49.53665965275529,34.534847628379154,90.66666666666666,42.333333333333336,0.3964714674178609,127,0.8365136237213538,0.8843264265788406,93.96325459317585,63.0,0.47995720336794706
555,fixed_observation_count,8,300,8.0,1.1920605110077942,1.0462386015905172,0.45489264793718387,0.9694058184501754,0.9227749874406751,82.37267080745342,49.84107772739664,33.45752406262805,91.33333333333333,43.333333333333336,0.4073000845439978,130,0.8255712239500363,0.8821488743284865,91.7948717948718,80.33333333333333,0.1851855352619341
555,fixed_observation_count,12,300,12.0,1.1915443319309107,1.0636298262120296,0.4550101472032061,0.9694471943562022,0.9229075996072648,82.33333333333333,49.696790887698334,33.34086654863047,91.33333333333333,43.0,0.4084944983444896,129,0.8137351006883845,0.8701673262260224,90.95607235142118,91.0,0.08589522480308139
555,natural_control_end,natural_end,300,5.963333333333333,1.2053790655637344,1.064343142953899,0.4608766182728912,0.9689332084184294,0.9215026994888634,82.19047619047619,50.05940161296106,33.38030367455218,91.33333333333333,43.0,0.40765746831954947,129,0.8253593307384273,0.881732981735169,91.343669250646,97.0,0.06042104366485206
