suite,evaluation_seed,method,training_seed,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_steps_mean,steps_mean,overshoots_mean,overshoot_task_rate_percent,overshoot_recovery_rate_percent,recovery_steps_mean,total_volume_mean_ml,final_abs_error_mean
titrant_scale_1p10,704,ppo,404,500,87.0,36.4,5.4,1.7999999999999998,6.045977011494253,11.014,5.222,63.2,85.12658227848101,3.345724907063197,8.021339999999999,0.15987904529132796
titrant_scale_1p10,704,ppo,555,500,87.4,34.599999999999994,5.4,2.1999999999999997,7.977116704805492,12.452,4.192,52.2,86.97318007662835,4.154185022026431,7.269359999999999,0.14164037011923625
sensor_noise_sd_0p05,704,imitation,0,500,61.6,31.8,4.8,29.4,5.681818181818182,11.674,3.488,53.8,74.72118959107807,4.1393034825870645,7.578300000000001,0.15631118318690845
sensor_noise_sd_0p05,704,ppo,101,500,68.60000000000001,34.8,5.0,24.8,5.600583090379009,9.358,3.284,60.6,77.55775577557756,3.6042553191489364,7.79664,0.17468768232300141
sensor_noise_sd_0p05,704,ppo,202,500,74.6,38.4,5.4,18.4,5.466487935656836,9.214,3.08,62.4,81.41025641025641,3.6929133858267718,7.75732,0.17390650666374607
sensor_noise_sd_0p05,704,ppo,303,500,75.8,46.2,4.0,18.8,5.139841688654354,7.976,3.148,67.4,79.22848664688428,3.7191011235955056,8.3474,0.13216325292674144
sensor_noise_sd_0p05,704,ppo,404,500,68.60000000000001,39.800000000000004,5.0,24.0,5.588921282798834,9.552,4.316,59.6,75.16778523489933,3.669642857142857,7.951479999999999,0.1717189617104778
sensor_noise_sd_0p05,704,ppo,555,500,59.199999999999996,32.0,4.6,32.800000000000004,5.743243243243243,11.508,3.432,52.8,73.48484848484848,4.041237113402062,7.48076,0.1482348942542075
response_fraction_0p70,704,imitation,0,500,59.599999999999994,28.000000000000004,10.2,33.4,11.661073825503356,12.452,2.282,70.2,50.427350427350426,6.350282485875706,8.41356,0.21056902434886268
response_fraction_0p70,704,ppo,101,500,54.6,24.0,10.2,39.800000000000004,10.340659340659341,11.082,2.464,73.6,42.391304347826086,6.801282051282051,9.249799999999999,0.2376677278120941
response_fraction_0p70,704,ppo,202,500,58.8,30.8,11.799999999999999,33.0,8.068027210884354,10.28,2.314,79.2,53.282828282828284,5.052132701421801,9.13782,0.28003646843837315
response_fraction_0p70,704,ppo,303,500,53.6,29.4,16.0,40.8,7.167910447761194,9.062,2.804,84.0,46.19047619047619,4.293814432989691,10.423399999999999,0.3257065498467987
response_fraction_0p70,704,ppo,404,500,56.99999999999999,25.0,11.600000000000001,37.4,9.459649122807017,10.472,2.55,76.0,47.10526315789474,5.675977653631285,9.68608,0.2536019496187014
response_fraction_0p70,704,ppo,555,500,61.199999999999996,25.2,10.8,30.2,10.915032679738562,12.892,2.878,67.0,48.95522388059702,5.304878048780488,8.71526,0.21982613955563254
combined_unseen,704,imitation,0,500,46.0,26.6,12.0,47.4,8.47391304347826,12.068,2.114,66.8,49.70059880239521,5.644578313253012,9.062851379274868,0.24144894965262792
combined_unseen,704,ppo,101,500,43.8,22.400000000000002,11.4,52.6,7.840182648401827,9.87,2.128,73.4,41.689373297002724,4.96078431372549,9.104984632287346,0.2442664094708386
combined_unseen,704,ppo,202,500,46.800000000000004,23.799999999999997,11.799999999999999,47.599999999999994,6.414529914529915,9.636,2.01,76.2,43.30708661417323,4.012121212121212,9.258933819052709,0.2987298480896064
combined_unseen,704,ppo,303,500,48.199999999999996,27.6,13.8,48.0,6.5850622406639,8.642,2.548,80.2,43.64089775561097,4.7542857142857144,10.463525161094717,0.28660874307813267
combined_unseen,704,ppo,404,500,47.8,25.6,10.6,47.599999999999994,7.393305439330544,10.018,2.382,73.8,44.71544715447155,5.0,10.493674426914717,0.26888448283424804
combined_unseen,704,ppo,555,500,45.0,22.400000000000002,10.6,50.0,8.866666666666667,11.818,2.02,65.2,43.86503067484663,5.503496503496503,8.848599532877047,0.21888822816465453
nominal,705,imitation,0,500,90.2,32.800000000000004,3.0,2.1999999999999997,8.268292682926829,11.666,3.264,52.6,91.63498098859316,4.008298755186722,7.90482,0.11228948086543517
nominal,705,ppo,101,500,90.4,36.199999999999996,2.6,2.4,7.245575221238938,10.48,3.636,55.4,89.89169675090253,4.0602409638554215,8.38056,0.09777208821706454
nominal,705,ppo,202,500,89.4,42.6,3.4000000000000004,2.0,6.118568232662192,10.082,3.178,61.0,92.1311475409836,3.7330960854092528,8.08184,0.11655260006491598
nominal,705,ppo,303,500,94.19999999999999,40.400000000000006,2.6,1.6,5.817409766454352,7.684,3.3,66.8,93.7125748502994,4.217252396166134,8.74554,0.09179156100303837
