"method","particle_count","benchmark_seed","task_seed","task_id","true_k","initial_ph","measured_initial_ph","target_ph","steps","overshoots","total_volume_ml","final_true_ph","final_measured_ph","final_signed_error_ph","final_abs_error_ph","final_measured_abs_error_ph","true_success","strict_success","severe_failure","measured_success","false_stop","stop_reason","trajectory_records"
"pf_10000","10000","303","1000303","2526","1","8.612","8.61","5.367","13","10","16.06","5.42732667561754","5.43","0.06032667561753957","0.06032667561753957","0.06299999999999972","1","0","0","1","0","measured_success","14"
"pf_10000","10000","303","1000303","2684","1","8.085","8.09","7.098","2","2","3.81","7.129659141213693","7.13","0.03165914121369351","0.03165914121369351","0.03200000000000003","1","1","0","1","0","measured_success","3"
"pf_10000","10000","303","1000303","2842","2","2.628","2.63","3.771","4","0","4.54","3.6890021938572577","3.69","-0.08199780614274221","0.08199780614274221","0.08099999999999996","1","0","0","1","0","measured_success","5"
"pf_10000","10000","303","1000303","3000","3","2.325","2.33","3.311","3","0","5.62","3.2368596270473313","3.24","-0.07414037295266862","0.07414037295266862","0.07099999999999973","1","0","0","1","0","measured_success","4"
"pf_10000","10000","404","1000404","1","1","2.936","2.94","3.143","1","1","0.55","3.2091138424418695","3.21","0.06611384244186969","0.06611384244186969","0.06700000000000017","1","0","0","1","0","measured_success","2"
"pf_10000","10000","404","1000404","159","3","4.211","4.21","1.901","1","0","6.6","1.9054601634263917","1.9100000000000001","0.004460163426391661","0.004460163426391661","0.009000000000000119","1","1","0","1","0","measured_success","2"
"pf_10000","10000","404","1000404","317","3","5.819","5.82","4.604","3","0","5.7299999999999995","4.689270789287118","4.69","0.08527078928711784","0.08527078928711784","0.0860000000000003","1","0","0","1","0","measured_success","4"
"pf_10000","10000","404","1000404","475","1","7.472","7.47","3.758","13","9","22.02","3.7006409732590866","3.7","-0.05735902674091342","0.05735902674091342","0.05799999999999983","1","0","0","1","0","measured_success","14"
"pf_10000","10000","404","1000404","632","1","7.326","7.33","4.493","12","7","18.969999999999995","4.410951847912493","4.41","-0.08204815208750738","0.08204815208750738","0.08300000000000018","1","0","0","1","0","measured_success","13"
"pf_10000","10000","404","1000404","790","2","5.379","5.38","5.83","6","1","6.3","5.883955581708047","5.88","0.05395558170804726","0.05395558170804726","0.04999999999999982","1","0","0","1","0","measured_success","7"
"pf_10000","10000","404","1000404","948","1","8.743","8.74","8.245","1","0","1.29","8.331811813671454","8.33","0.08681181367145463","0.08681181367145463","0.08500000000000085","1","0","0","1","0","measured_success","2"
"pf_10000","10000","404","1000404","1106","1","8.284","8.28","11.417","4","2","9.61","11.360516500549178","11.36","-0.056483499450822094","0.056483499450822094","0.057000000000000384","1","0","0","1","0","measured_success","5"
"pf_10000","10000","404","1000404","1264","3","6.675","6.68","5.134","3","2","7.219999999999999","5.149699835360176","5.15","0.015699835360175385","0.015699835360175385","0.016000000000000014","1","1","0","1","0","measured_success","4"
"pf_10000","10000","404","1000404","1422","1","6.814","6.81","7.397","2","1","5.06","7.4435196368232575","7.44","0.046519636823257215","0.046519636823257215","0.04300000000000015","1","1","0","1","0","measured_success","3"
"pf_10000","10000","404","1000404","1579","3","8.034","8.03","7.546","4","2","2.88","7.605418573681783","7.61","0.05941857368178294","0.05941857368178294","0.06400000000000006","1","0","0","1","0","measured_success","5"
"pf_10000","10000","404","1000404","1737","1","3.505","3.5","3.83","1","0","0.86","3.7684041141639044","3.77","-0.061595885836095654","0.061595885836095654","0.06000000000000005","1","0","0","1","0","measured_success","2"
"pf_10000","10000","404","1000404","1895","1","1.968","1.97","3.622","1","0","4.11","3.58164725729766","3.58","-0.040352742702340016","0.040352742702340016","0.041999999999999815","1","1","0","1","0","measured_success","2"
"pf_10000","10000","404","1000404","2053","3","5.247","5.25","8.479","10","5","18.389999999999993","8.5079091248543","8.51","0.028909124854301638","0.028909124854301638","0.031000000000000583","1","1","0","1","0","measured_success","11"
"pf_10000","10000","404","1000404","2211","2","3.391","3.39","2.345","3","1","6.52","2.307495295566807","2.31","-0.037504704433193314","0.037504704433193314","0.03500000000000014","1","1","0","1","0","measured_success","4"
"pf_10000","10000","404","1000404","2369","3","3.864","3.86","2.885","6","0","13.3","2.9011527161109605","2.9","0.016152716110960696","0.016152716110960696","0.015000000000000124","1","1","0","1","0","measured_success","7"
"pf_10000","10000","404","1000404","2526","2","7.524","7.52","9.229","15","8","11.359999999999998","9.209442145547314","9.21","-0.01955785445268532","0.01955785445268532","0.01899999999999835","1","1","0","1","0","measured_success","16"
"pf_10000","10000","404","1000404","2684","2","4.788","4.79","1.859","3","0","9.57","1.9446502387334954","1.94","0.08565023873349542","0.08565023873349542","0.08099999999999996","1","0","0","1","0","measured_success","4"
"pf_10000","10000","404","1000404","2842","2","3.52","3.52","3.018","1","0","3.21","3.102468548910161","3.1","0.08446854891016109","0.08446854891016109","0.0820000000000003","1","0","0","1","0","measured_success","2"
"pf_10000","10000","404","1000404","3000","3","3.14","3.14","2.799","1","1","1.58","2.7492360667676596","2.75","-0.049763933232340296","0.049763933232340296","0.04899999999999993","1","1","0","1","0","measured_success","2"
"pf_10000","10000","555","1000555","1","3","5.258","5.26","4.769","3","1","4.74","4.7045173490579515","4.7","-0.06448265094204864","0.06448265094204864","0.06899999999999995","1","0","0","1","0","measured_success","4"
"pf_10000","10000","555","1000555","159","1","7.884","7.88","8.572","5","4","7.500000000000001","8.51383062092626","8.51","-0.05816937907373898","0.05816937907373898","0.06199999999999939","1","0","0","1","0","measured_success","6"
"pf_10000","10000","555","1000555","317","2","3.139","3.14","2.26","3","1","6.51","2.236607469545554","2.24","-0.023392530454446003","0.023392530454446003","0.019999999999999574","1","1","0","1","0","measured_success","4"
"pf_10000","10000","555","1000555","475","1","6.165","6.16","7.891","10","8","10.820000000000002","7.844437045010977","7.84","-0.04656295498902274","0.04656295498902274","0.051000000000000156","1","1","0","1","0","measured_success","11"
"pf_10000","10000","555","1000555","632","2","6.678","6.68","8.183","13","8","10.560000000000002","8.173015698423274","8.17","-0.009984301576725585","0.009984301576725585","0.0129999999999999","1","1","0","1","0","measured_success","14"
"pf_10000","10000","555","1000555","790","3","5.273","5.27","4.065","2","1","5.67","4.01631036350129","4.0200000000000005","-0.048689636498710165","0.048689636498710165","0.04499999999999993","1","1","0","1","0","measured_success","3"
"pf_10000","10000","555","1000555","948","2","6.948","6.95","5.218","1","0","5.46","5.2691992281331785","5.2700000000000005","0.051199228133178565","0.051199228133178565","0.05200000000000049","1","0","0","1","0","measured_success","2"
"pf_10000","10000","555","1000555","1106","3","5.799","5.8","9.685","9","5","17.029999999999998","9.777750232688696","9.78","0.09275023268869553","0.09275023268869553","0.09499999999999886","1","0","0","1","0","measured_success","10"
"pf_10000","10000","555","1000555","1264","2","4.381","4.38","6.678","6","4","13.439999999999998","6.671882611321678","6.67","-0.006117388678322122","0.006117388678322122","0.008000000000000007","1","1","0","1","0","measured_success","7"
"pf_10000","10000","555","1000555","1422","3","2.234","2.23","4.202","10","4","15.1","4.187318971274749","4.19","-0.01468102872525101","0.01468102872525101","0.011999999999999567","1","1","0","1","0","measured_success","11"
"pf_10000","10000","555","1000555","1579","1","5.187","5.19","5.963","2","1","4.58","6.0553017296852225","6.0600000000000005","0.09230172968522243","0.09230172968522243","0.09700000000000042","1","0","0","1","0","measured_success","3"
"pf_10000","10000","555","1000555","1737","1","6.024","6.02","3.5","12","7","15.270000000000001","3.4377961471323673","3.44","-0.06220385286763275","0.06220385286763275","0.06000000000000005","1","0","0","1","0","measured_success","13"
"pf_10000","10000","555","1000555","1895","1","2.566","2.57","4.682","9","8","10.710000000000003","4.5918522424104005","4.59","-0.09014775758959992","0.09014775758959992","0.09200000000000053","1","0","0","1","0","measured_success","10"
"pf_10000","10000","555","1000555","2053","1","8.833","8.83","5.15","50","45","19.190000000000055","4.8398950727421095","4.84","-0.31010492725789085","0.31010492725789085","0.3100000000000005","0","0","0","0","0","max_steps","51"
"pf_10000","10000","555","1000555","2211","2","3.477","3.48","5.51","4","3","8.92","5.583621481191198","5.58","0.07362148119119816","0.07362148119119816","0.07000000000000028","1","0","0","1","0","measured_success","5"
"pf_10000","10000","555","1000555","2369","1","6.754","6.75","7.719","1","0","2.52","7.6784233881922574","7.68","-0.04057661180774286","0.04057661180774286","0.03900000000000059","1","1","0","1","0","measured_success","2"
"pf_10000","10000","555","1000555","2526","1","3.126","3.13","4.733","4","1","10.749999999999998","4.791299225756681","4.79","0.05829922575668167","0.05829922575668167","0.057000000000000384","1","0","0","1","0","measured_success","5"
"pf_10000","10000","555","1000555","2684","1","4.521","4.52","6.299","11","8","14.739999999999995","6.273772358910776","6.2700000000000005","-0.025227641089224484","0.025227641089224484","0.028999999999999915","1","1","0","1","0","measured_success","12"
"pf_10000","10000","555","1000555","2842","1","4.391","4.39","3.18","2","1","4.66","3.1292591858551635","3.13","-0.050740814144836666","0.050740814144836666","0.050000000000000266","1","0","0","1","0","measured_success","3"
"pf_10000","10000","555","1000555","3000","2","4.228","4.23","2.343","4","3","7.92","2.2779089301530453","2.2800000000000002","-0.06509106984695467","0.06509106984695467","0.06299999999999972","1","0","0","1","0","measured_success","5"
