task_seed,task_id,acid_type,difficulty,direction,pka_family,true_pair_count,initial_ph,target_ph,overshoot_cap_events,overshoot_cap_applied_steps,overshoot_cap_final_ml,true_success,strict_success,severe_failure,measured_success,false_stop,steps,overshoots,final_abs_error,total_volume_ml,acid_added_ml,base_added_ml,final_true_ph,final_measured_ph,stop_reason,label,training_seed,benchmark_seed,checkpoint_sha256,checkpoint_reward_variant,step_cost
1000555,611,diprotic,medium,base,separated,2,4.2,4.995,1,0,1.375,1,1,0,1,0,1,1,0.04047260825272492,2.75,0.0,2.75,5.035472608252725,5.04,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,612,diprotic,near,base,separated,2,4.829,5.528,0,0,,1,1,0,1,0,2,0,0.04761313711095827,3.1100000000000003,0.0,3.1100000000000003,5.480386862889041,5.48,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,613,diprotic,near,acid,separated,2,2.013,1.661,1,0,1.53,1,1,0,1,0,1,1,0.010799687451636952,3.06,3.06,0.0,1.650200312548363,1.6500000000000001,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,614,diprotic,near,acid,separated,2,4.816,4.144,4,2,0.105,1,1,0,1,0,4,4,0.014399979004533492,3.7300000000000004,2.49,1.24,4.158399979004534,4.16,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,615,monoprotic,near,acid,single,1,8.112,7.734,0,0,,0,0,0,0,0,50,0,0.10435234876977084,0.5000000000000002,0.5000000000000002,0.0,7.838352348769771,7.84,max_steps,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,616,monoprotic,medium,base,single,1,4.615,5.684,3,1,0.2,1,1,0,1,0,3,3,0.020233894038473643,3.95,0.8,3.15,5.704233894038474,5.7,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,617,triprotic,medium,base,separated,3,6.781,8.505,45,2,0.01,0,0,0,0,0,50,45,0.3124750929969142,12.38999999999999,5.9599999999999955,6.429999999999995,8.817475092996915,8.82,max_steps,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,618,diprotic,near,acid,separated,2,5.425,4.819,1,0,0.525,1,0,0,1,0,2,1,0.09038558741377489,3.1100000000000003,3.1100000000000003,0.0,4.728614412586225,4.73,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,619,monoprotic,medium,base,single,1,3.318,4.708,5,2,0.05,1,1,0,1,0,6,4,0.0007510032006781131,7.319999999999999,2.0700000000000003,5.249999999999999,4.707248996799322,4.71,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,620,diprotic,medium,acid,separated,2,7.591,5.929,1,1,0.525,1,0,0,1,0,4,1,0.05511451353518382,7.870000000000001,7.3500000000000005,0.52,5.8738854864648165,5.87,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,621,monoprotic,medium,base,single,1,4.164,5.215,0,0,,1,0,0,1,0,1,0,0.08102200169480334,2.75,0.0,2.75,5.1339779983051965,5.13,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,622,diprotic,near,acid,separated,2,3.611,2.912,0,0,,1,0,0,1,0,2,0,0.06279428845935442,3.8,3.8,0.0,2.9747942884593543,2.97,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,623,monoprotic,near,acid,single,1,3.73,3.352,2,1,0.515,1,1,0,1,0,2,2,0.0442176336932234,3.09,2.06,1.03,3.3962176336932233,3.4,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,624,triprotic,near,base,separated,3,4.215,4.481,1,0,1.03,1,1,0,1,0,1,1,0.03104448010919647,2.06,0.0,2.06,4.512044480109196,4.51,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,625,diprotic,far,acid,separated,2,4.913,1.85,0,0,,1,1,0,1,0,4,0,0.022251145623886526,13.54,13.54,0.0,1.8722511456238866,1.87,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
