seed,algorithm,reward_variant,environment_steps,success_rate_percent,successful_steps_mean,overshoot_rate_percent,final_abs_error_mean
303,reinforce,simple_progress,25011,89.9,8.991101223581758,30.382873610539317,0.19885300079800913
404,reinforce,full,0,94.1,8.704569606801275,41.58316633266533,0.07213200755224605
404,reinforce,full,5000,93.2,8.894849785407725,31.408250355618776,0.11349014703996144
404,reinforce,full,10002,86.3,9.499420625724218,20.69769135532736,0.29998426624109004
404,reinforce,full,15048,80.9,9.352286773794809,16.7618192315094,0.4797993694037623
404,reinforce,full,20028,83.3,10.060024009603842,17.173731266482278,0.3633827372594089
404,reinforce,full,25014,83.6,9.988038277511961,16.93104564584008,0.3539532866129534
404,reinforce,step_penalty_minus_0p005,0,94.1,8.704569606801275,41.58316633266533,0.07213200755224605
404,reinforce,step_penalty_minus_0p005,5003,91.0,10.618681318681318,25.767710550319247,0.15914609139362088
404,reinforce,step_penalty_minus_0p005,10001,94.2,11.450106157112527,27.768860353130016,0.06851634433847456
404,reinforce,step_penalty_minus_0p005,15004,90.3,12.666666666666666,20.972259269138437,0.12131111907788943
404,reinforce,step_penalty_minus_0p005,20001,89.4,13.043624161073826,17.068911755534767,0.15834913433456108
404,reinforce,step_penalty_minus_0p005,25001,91.6,14.503275109170305,18.591428746102586,0.11366370797123716
404,reinforce,no_dense,0,94.1,8.704569606801275,41.58316633266533,0.07213200755224605
404,reinforce,no_dense,5006,93.9,8.57933972310969,38.951579811243334,0.06550414197839358
404,reinforce,no_dense,10006,94.2,8.5552016985138,37.57082517770681,0.06841229818199324
404,reinforce,no_dense,15007,93.8,8.428571428571429,38.575792689350045,0.06700407531618663
404,reinforce,no_dense,20004,92.4,8.336580086580087,37.97428661022264,0.06439140561606982
404,reinforce,no_dense,25013,93.1,8.597207303974221,37.53475440222428,0.06738136597915187
404,reinforce,no_overshoot,0,94.1,8.704569606801275,41.58316633266533,0.07213200755224605
404,reinforce,no_overshoot,5014,93.0,8.841935483870968,37.587833285205505,0.08195292886569354
404,reinforce,no_overshoot,10004,93.7,8.567769477054428,37.38142292490119,0.09028848571924245
404,reinforce,no_overshoot,15000,88.2,8.992063492063492,26.54832033115746,0.1989048873795503
404,reinforce,no_overshoot,20002,87.7,9.594070695553022,23.39331619537275,0.16070783719515327
404,reinforce,no_overshoot,25000,90.1,9.756936736958934,24.733391263132948,0.09912867525349706
404,reinforce,no_volume_shaping,0,94.1,8.704569606801275,41.58316633266533,0.07213200755224605
404,reinforce,no_volume_shaping,5000,94.4,8.497881355932204,43.91654616814708,0.06140436555976788
404,reinforce,no_volume_shaping,10010,94.5,8.48994708994709,44.15090460526316,0.058653621700082564
404,reinforce,no_volume_shaping,15022,91.7,9.800436205016357,32.25254582484725,0.2155046777063215
404,reinforce,no_volume_shaping,20004,88.3,9.109852774631937,29.896344789961812,0.337329713285099
404,reinforce,no_volume_shaping,25000,85.7,8.793465577596265,25.696685244939864,0.443108712576808
404,reinforce,no_terminal,0,94.1,8.704569606801275,41.58316633266533,0.07213200755224605
404,reinforce,no_terminal,5010,86.7,9.480968858131488,23.402712306911305,0.2821246474031626
404,reinforce,no_terminal,10006,80.0,9.60375,16.65537836340127,0.3883700269862477
404,reinforce,no_terminal,15021,75.5,10.170860927152319,13.461643312796467,0.5193913501654503
404,reinforce,no_terminal,20048,74.5,10.516778523489933,11.441802383058432,0.6202676336369305
404,reinforce,no_terminal,25005,64.2,10.998442367601246,7.804918855613184,0.9951038992629826
404,reinforce,simple_progress,0,94.1,8.704569606801275,41.58316633266533,0.07213200755224605
404,reinforce,simple_progress,5005,93.0,8.616129032258064,37.11134353903204,0.09571822566886809
404,reinforce,simple_progress,10034,93.6,8.518162393162394,36.32278233685033,0.08703938436468886
404,reinforce,simple_progress,15049,91.1,8.840834248079034,31.54487406881873,0.1475298346211374
404,reinforce,simple_progress,20001,89.6,8.743303571428571,29.833291863647673,0.19214749717031154
404,reinforce,simple_progress,25040,90.1,8.95338512763596,28.708992981883465,0.16016632569232095
555,reinforce,full,0,94.9,8.755532139093782,40.77786688051323,0.07487363518308864
555,reinforce,full,5007,94.0,8.732978723404255,37.94785031847134,0.08192421296913674
555,reinforce,full,10001,93.9,8.8604898828541,36.437087397773176,0.07672388533160031
555,reinforce,full,15003,95.0,9.134736842105264,38.53281853281853,0.07048812996829364
