algorithm,initialization,seed,environment_steps,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_steps_mean,successful_steps_sd_task,steps_mean,overshoots_mean,total_volume_mean_ml,final_abs_error_mean
reinforce,random,202,10014,1000,44.3,19.6,42.0,0.0,11.507900677200903,9.509785665877393,32.948,21.882,43.820839999999976,1.138211510557165
reinforce,random,202,15038,1000,35.199999999999996,11.200000000000001,45.300000000000004,0.0,9.613636363636363,9.94249198406249,35.784,29.154,76.91448000000001,1.1678388691197028
reinforce,random,202,20039,1000,49.3,23.599999999999998,38.0,0.0,14.9026369168357,10.879357511443638,32.697,17.229,31.389120000000016,0.9791489594108019
reinforce,random,202,25004,1000,49.3,23.599999999999998,38.0,0.0,14.9026369168357,10.879357511443638,32.697,17.229,31.389120000000016,0.9791489594108019
reinforce,imitation,303,0,1000,88.3,36.5,5.7,0.0,7.696489241223103,4.131162903466144,12.646,7.241,19.867300000000004,0.11972690215378415
reinforce,imitation,303,5007,1000,88.4,38.5,6.2,0.0,7.536199095022624,4.124868868358646,12.462,7.125,19.608760000000004,0.12028889056588565
reinforce,imitation,303,10001,1000,88.3,36.6,6.5,0.0,7.662514156285391,4.258834917085875,12.616,7.153,19.446840000000005,0.1266952740883625
reinforce,imitation,303,15007,1000,88.0,36.4,5.800000000000001,0.0,7.4988636363636365,3.963140591607473,12.599,7.035,19.310070000000003,0.12505382786142433
reinforce,imitation,303,20000,1000,76.7,29.2,18.3,0.0,7.5215123859191655,5.611601541551112,17.419,5.99,16.97723,0.5699328283396062
reinforce,imitation,303,25041,1000,75.6,28.999999999999996,19.400000000000002,0.0,8.953703703703704,9.379516898955277,18.969,4.802,16.399660000000004,0.4972599241244879
reinforce,random,303,0,1000,53.6,20.5,39.1,0.0,18.184701492537314,15.236375225235978,32.947,21.224,181.51708000000002,1.0320976167454803
reinforce,random,303,5034,1000,56.699999999999996,27.800000000000004,31.900000000000002,0.0,11.37742504409171,10.299510352401727,28.101,16.691,60.84428000000001,0.8030525997050868
reinforce,random,303,10030,1000,51.6,24.7,37.7,0.0,12.25,8.854678978134965,30.521,13.427,41.14486,0.9053484450852056
reinforce,random,303,15012,1000,51.7,26.400000000000002,34.5,0.0,13.51450676982592,9.392098485002645,31.137,17.928,33.480430000000005,0.7238041991697945
reinforce,random,303,20002,1000,48.699999999999996,23.7,39.4,0.0,16.94866529774127,12.65217792475255,33.904,14.112,25.767040000000012,1.0186297036861585
reinforce,random,303,25011,1000,48.699999999999996,23.7,39.4,0.0,16.94866529774127,12.65217792475255,33.904,14.112,25.767040000000012,1.0186297036861585
reinforce,imitation,404,0,1000,88.4,37.3,6.0,0.0,7.611990950226244,4.0132725574684756,12.529,7.005,19.598100000000002,0.12346207341773899
reinforce,imitation,404,5018,1000,87.2,39.4,8.0,0.0,7.647935779816514,4.14309438653722,13.069,6.769,19.204489999999996,0.17169809141406353
reinforce,imitation,404,10004,1000,82.6,34.0,11.899999999999999,0.0,8.444309927360775,7.637859311126113,15.675,6.675,17.96697,0.2995348680533717
reinforce,imitation,404,15021,1000,68.0,28.199999999999996,27.500000000000004,0.0,8.702941176470588,10.03983187268994,21.918,3.482,15.23713,0.7170784636327243
reinforce,imitation,404,20018,1000,63.800000000000004,25.4,31.1,0.0,9.623824451410659,11.61386316820116,24.24,3.321,14.491939999999998,0.7611487538594431
reinforce,imitation,404,25015,1000,56.99999999999999,22.2,36.9,0.0,10.97719298245614,13.563150708193389,27.757,2.511,13.551769999999998,0.9116222626523227
reinforce,random,404,0,1000,24.099999999999998,6.5,63.2,0.0,14.024896265560166,15.44612284447765,41.33,37.838,382.83707000000004,1.5704022256510597
reinforce,random,404,5001,1000,46.800000000000004,24.2,34.9,0.0,11.061965811965813,11.71843137176109,31.777,22.52,63.87226,0.8874883790238492
reinforce,random,404,10029,1000,57.8,29.799999999999997,28.799999999999997,0.0,13.576124567474048,11.171046888922634,28.947,15.84,41.22748000000001,0.8275487865412551
reinforce,random,404,15019,1000,64.4,33.4,26.5,0.0,15.95807453416149,12.346341283904115,28.077,13.713,34.80231000000001,0.7510719383068727
reinforce,random,404,20031,1000,51.0,24.099999999999998,37.3,0.0,17.54313725490196,12.239148674471584,33.447,14.218,27.59054,1.0249389228318315
reinforce,random,404,25046,1000,51.0,24.4,36.5,0.0,17.658823529411766,12.35927745789268,33.506,13.72,28.208280000000002,0.8622562789844267
reinforce,imitation,555,0,1000,88.1,34.699999999999996,7.000000000000001,0.0,7.584562996594778,4.0561331306533495,12.632,7.037,19.53046,0.1384107304229618
reinforce,imitation,555,5049,1000,87.4,35.3,6.6000000000000005,0.0,7.643020594965675,4.273392254182753,12.98,7.325,19.207620000000002,0.13921732990041127
reinforce,imitation,555,10015,1000,87.1,33.0,5.8999999999999995,0.0,9.812858783008037,8.619577821330108,14.997,6.99,18.27782,0.13278760258366165
reinforce,imitation,555,15015,1000,84.5,31.4,10.100000000000001,0.0,9.153846153846153,7.533338226452017,15.485,6.29,17.92426,0.2341846173502681
reinforce,imitation,555,20020,1000,86.0,31.2,8.9,0.0,8.683720930232559,6.511561500131297,14.468,6.439,18.806590000000003,0.19344184421664337
reinforce,imitation,555,25005,1000,85.6,33.2,8.4,0.0,7.905373831775701,5.873454534103411,13.967,6.586,19.48565,0.15644944168663208
reinforce,random,555,0,1000,27.400000000000002,8.4,63.5,0.0,19.78102189781022,15.498890579919257,41.72,25.586,245.52317,1.5756917635146848
reinforce,random,555,5023,1000,60.5,24.2,33.0,0.0,16.4,13.272687686018836,29.672,15.403,70.26234,0.9458545062478866
reinforce,random,555,10039,1000,47.599999999999994,25.2,37.5,0.0,10.842436974789916,10.05554916431815,31.361,21.654,71.53700000000003,0.8550334261755953
reinforce,random,555,15011,1000,51.2,22.8,41.4,0.0,15.921875,13.26700621887778,32.552,8.335,32.55464000000001,1.4225370912904878
