"spectrum_number","wavelength_nm","absorbance"
"10","780.9888916","0.028999448"
"11","780.9888916","0.017156132"
"1","780.0094604","0.096335977"
"2","780.0094604","0.094471678"
"3","780.0094604","0.087861806"
"4","780.0094604","0.091936648"
"5","780.0094604","0.089420371"
"6","780.0094604","0.081434667"
"7","780.0094604","0.061056122"
"8","780.0094604","0.055845793"
"9","780.0094604","0.03797319159"
"10","780.0094604","0.029669579"
"11","780.0094604","0.016944628"
"1","778.994812","0.098174468"
"2","778.994812","0.097136021"
"3","778.994812","0.09176001"
"4","778.994812","0.091035493"
"5","778.994812","0.090477236"
"6","778.994812","0.0807328"
"7","778.994812","0.060875401"
"8","778.994812","0.05646361"
"9","778.994812","0.03949639574"
"10","778.994812","0.032296777"
"11","778.994812","0.018865714"
"1","778.0147095","0.096582606"
"2","778.0147095","0.095675096"
"3","778.0147095","0.091897011"
"4","778.0147095","0.090060711"
"5","778.0147095","0.087518699"
"6","778.0147095","0.081964999"
"7","778.0147095","0.062611498"
"8","778.0147095","0.056370936"
"9","778.0147095","0.03837847337"
"10","778.0147095","0.029782038"
"11","778.0147095","0.018901916"
"1","776.9992065","0.095317349"
"2","776.9992065","0.096712932"
"3","776.9992065","0.091078207"
"4","776.9992065","0.090127759"
"5","776.9992065","0.086434409"
"6","776.9992065","0.081655949"
"7","776.9992065","0.062354881"
"8","776.9992065","0.056654654"
"9","776.9992065","0.03935336322"
"10","776.9992065","0.03371492"
"11","776.9992065","0.019831484"
"1","775.9833374","0.094049118"
"2","775.9833374","0.093289196"
"3","775.9833374","0.087716207"
"4","775.9833374","0.087873183"
"5","775.9833374","0.08709687"
"6","775.9833374","0.080804482"
"7","775.9833374","0.062026743"
"8","775.9833374","0.05424355"
"9","775.9833374","0.04005917907"
"10","775.9833374","0.031812832"
"11","775.9833374","0.016063541"
"1","775.0020752","0.094186172"
"2","775.0020752","0.096102789"
"3","775.0020752","0.091999382"
"4","775.0020752","0.091658846"
"5","775.0020752","0.089097328"
"6","775.0020752","0.083603077"
"7","775.0020752","0.061671704"
"8","775.0020752","0.057100818"
"9","775.0020752","0.03921703622"
"10","775.0020752","0.031775009"
"11","775.0020752","0.016619606"
"1","773.9854126","0.094215818"
"2","773.9854126","0.095657319"
"3","773.9854126","0.09007635"
"4","773.9854126","0.091004178"
"5","773.9854126","0.088238575"
"6","773.9854126","0.082644843"
"7","773.9854126","0.063544497"
"8","773.9854126","0.056789547"
"9","773.9854126","0.04239288345"
"10","773.9854126","0.030583097"
"11","773.9854126","0.019599367"
"1","773.003418","0.095749214"
"2","773.003418","0.09564767"
"3","773.003418","0.088650495"
"4","773.003418","0.0909255"
"5","773.003418","0.088451609"
"6","773.003418","0.084039681"
"7","773.003418","0.063260823"
"8","773.003418","0.058262222"
"9","773.003418","0.04111547396"
"10","773.003418","0.033177115"
"11","773.003418","0.019009728"
"1","771.9860229","0.092971928"
"2","771.9860229","0.094064191"
"3","771.9860229","0.087646648"
"4","771.9860229","0.088679932"
"5","771.9860229","0.087993145"
"6","771.9860229","0.07949508"
"7","771.9860229","0.06078336"
"8","771.9860229","0.05521401"
"9","771.9860229","0.04141271859"
"10","771.9860229","0.0302766"
"11","771.9860229","0.015913278"
"1","771.0032349","0.091493443"
"2","771.0032349","0.093195669"
"3","771.0032349","0.087167263"
"4","771.0032349","0.090036951"
"5","771.0032349","0.088115051"
"6","771.0032349","0.07967858"
"7","771.0032349","0.059891481"
"8","771.0032349","0.055042788"
"9","771.0032349","0.0421355553"
"10","771.0032349","0.031902559"
"11","771.0032349","0.016395701"
"1","769.9851074","0.094254538"
"2","769.9851074","0.095293142"
"3","769.9851074","0.089060776"
"4","769.9851074","0.091942593"
"5","769.9851074","0.090075009"
"6","769.9851074","0.081901357"
"7","769.9851074","0.063674353"
"8","769.9851074","0.059238389"
"9","769.9851074","0.04113126919"
"10","769.9851074","0.031698957"
"11","769.9851074","0.017112426"
"1","769.0016479","0.092806727"
"2","769.0016479","0.092922673"
"3","769.0016479","0.087877937"
"4","769.0016479","0.088978484"
"5","769.0016479","0.086887911"
"6","769.0016479","0.082593277"
"7","769.0016479","0.061936755"
"8","769.0016479","0.056811407"
"9","769.0016479","0.04160933197"
"10","769.0016479","0.031933844"
"11","769.0016479","0.016879307"
"1","767.982666","0.096454263"
"2","767.982666","0.097458877"
"3","767.982666","0.089843124"
