experiment,acid_type,true_buffer_count,steps_taken,success,final_pH,target_pH,final_abs_pH_error,final_matched_pka_mae,final_posterior_mean_std,final_unused_slot_mole_fraction
81,diprotic,2,27,True,7.94,7.98,0.040000000000000036,0.8613917363812496,0.2177567415579631,0.40730790355024643
88,diprotic,2,5,True,5.24,5.31,0.0699999999999994,0.9137719385662302,0.2044461155930695,0.011337110734012154
90,monoprotic,1,23,True,8.98,8.96,0.019999999999999574,0.33088972007620043,0.22516670596142505,0.46899963103464365
91,monoprotic,1,22,True,8.73,8.78,0.049999999999998934,0.010361933558950653,0.2424467300336175,0.6434288179970148
93,monoprotic,1,4,True,4.7,4.75,0.04999999999999982,0.19462856753796398,0.20193186823783327,0.2860185132169934
87,triprotic,3,13,True,10.6,10.53,0.07000000000000028,0.7087699011884974,0.2114611171272207,0.0
92,diprotic,2,8,True,10.34,10.44,0.09999999999999964,1.0437957889084635,0.18952273363909844,0.10508850152075994
94,triprotic,3,4,True,3.94,3.94,0.0,1.4540166472306286,0.009812598114526654,0.0
95,diprotic,2,10,True,10.47,10.44,0.030000000000001137,1.3341981969672383,0.20742763011595397,0.04751040996377882
89,triprotic,3,16,True,10.15,10.22,0.07000000000000028,0.9230658777683232,0.21946408019929028,0.0
96,diprotic,2,5,True,3.1,3.17,0.06999999999999984,0.9025021857858981,0.20359233669585333,0.009746183517969834
97,diprotic,2,4,True,4.73,4.81,0.07999999999999918,0.14752105194627418,0.20375923852500144,0.3694529161506828
99,triprotic,3,5,True,8.11,8.08,0.02999999999999936,1.1408315708813053,0.21683029071880086,0.0
101,diprotic,2,5,True,4.22,4.28,0.0600000000000005,1.2178204429646964,0.20917394779746712,0.5026620511066333
98,diprotic,2,12,True,8.74,8.75,0.009999999999999787,1.9867636775218163,0.20233043542076778,0.2172816039348432
102,triprotic,3,5,True,5.03,5.08,0.04999999999999982,1.2589641011045194,0.20793916622744524,0.0
103,diprotic,2,4,True,3.37,3.3,0.07000000000000028,1.5024998582991007,0.19550249387192029,0.2591952562923789
105,triprotic,3,5,True,6.22,6.14,0.08000000000000007,1.2048055497245196,0.20714310965365731,0.0
106,monoprotic,1,3,True,3.73,3.67,0.06000000000000005,0.921101384435357,0.19640537076296216,0.16501040444032425
100,monoprotic,1,25,True,6.41,6.42,0.009999999999999787,0.37007228814993587,0.21892486062877325,0.23053534920727886
107,triprotic,3,7,True,5.84,5.89,0.04999999999999982,1.1871550583123542,0.20665853817214852,0.0
108,diprotic,2,8,True,10.45,10.52,0.07000000000000028,0.36566834302415696,0.204135965007907,0.5512614043996692
111,monoprotic,1,1,True,3.95,4.04,0.08999999999999986,0.4667036143857328,0.1962696209375996,0.29254911654564336
110,triprotic,3,5,True,5.27,5.35,0.08000000000000007,0.6656922439642953,0.16828079436555596,0.0
104,monoprotic,1,24,True,6.12,6.17,0.04999999999999982,0.5599279830389592,0.21651815623088336,0.5870185852772716
109,diprotic,2,16,True,8.57,8.47,0.09999999999999964,1.0117871521483237,0.227309449446495,0.5210599838176021
115,diprotic,2,3,True,3.55,3.61,0.06000000000000005,0.4371756404390863,0.2098841572253249,0.4090794126396028
116,monoprotic,1,3,True,2.67,2.59,0.08000000000000007,0.01144577664582247,0.1995135138789136,0.7789855717840044
113,diprotic,2,14,True,7.14,7.07,0.0699999999999994,0.3783725884186029,0.04966100827490851,0.22252076145353047
114,triprotic,3,10,True,8.57,8.52,0.05000000000000071,1.3082735411471134,0.20132077052463623,0.0
117,monoprotic,1,10,True,10.49,10.47,0.019999999999999574,1.164032799675903,0.1160380537545108,0.5536119413565603
112,triprotic,3,12,True,10.07,10.15,0.08000000000000007,1.6315289030654299,0.21918159752097668,0.0
120,diprotic,2,4,True,4.15,4.19,0.040000000000000036,0.045113480793753435,0.20480276094969993,0.11786437272080535
122,monoprotic,1,1,True,4.12,4.17,0.04999999999999982,0.5343130540029959,0.20449305289939743,0.4850745116599642
