experiment,acid_type,target_pH,final_pH,steps,overshoots,success
309,monoprotic,4.18,4.09,21,0,True
310,diprotic,3.42,3.34,21,0,True
311,monoprotic,7.62,7.72,18,3,True
312,diprotic,4.63,4.62,18,2,True
313,monoprotic,6.71,6.69,16,2,True
314,diprotic,6.83,6.74,30,0,True
315,diprotic,10.48,10.55,16,3,True
316,diprotic,3.08,2.99,27,0,True
317,monoprotic,2.77,2.85,1,0,True
318,triprotic,3.24,3.15,11,0,True
319,triprotic,5.56,5.47,37,0,True
320,monoprotic,5.36,5.33,21,0,True
321,monoprotic,7.63,4.72,50,42,False
322,diprotic,6.64,6.68,29,1,True
323,diprotic,10.38,10.31,17,4,True
324,triprotic,10.46,10.52,23,3,True
325,diprotic,3.02,2.93,19,0,True
326,monoprotic,9.08,10.5,50,31,False
327,triprotic,9.19,10.11,50,25,False
328,monoprotic,5.49,4.02,50,20,False
329,triprotic,9.41,10.16,50,25,False
330,triprotic,10.35,10.25,32,12,True
331,monoprotic,6.57,10.25,50,35,False
332,triprotic,4.56,4.48,37,0,True
333,monoprotic,9.67,11.41,50,25,False
334,monoprotic,6.49,10.52,50,37,False
335,triprotic,4.68,4.59,44,0,True
336,monoprotic,10.75,10.66,7,2,True
337,diprotic,4.0,3.94,26,0,True
338,diprotic,4.75,4.66,42,0,True
339,diprotic,9.2,10.99,50,37,False
340,diprotic,2.38,2.29,24,0,True
341,triprotic,6.32,6.23,41,0,True
342,diprotic,10.15,10.13,34,16,True
343,monoprotic,6.69,6.33,50,36,False
344,diprotic,4.81,4.72,34,0,True
345,diprotic,9.36,6.19,50,28,False
346,diprotic,10.77,10.87,15,1,True
347,monoprotic,5.51,5.57,18,1,True
348,monoprotic,9.12,11.32,50,31,False
349,diprotic,9.3,10.91,50,35,False
350,triprotic,8.08,8.03,38,0,True
351,diprotic,2.02,1.93,9,0,True
352,diprotic,6.68,9.65,50,17,False
353,monoprotic,2.95,2.94,1,0,True
354,triprotic,9.6,9.55,29,2,True
355,triprotic,10.81,10.74,21,2,True
356,monoprotic,2.89,2.81,18,0,True
357,diprotic,8.44,6.05,50,36,False
